;GO:1904874;GO:0007021;GO:1904851;GO:1904871;GO:0046931;GO:0043312;GO:0009615;GO:0090090;GO:0051973;GO:0045892;GO:0051086;GO:0051131;GO:0032212
GO:1904874;1.0;0.0;0.4897452533109255;0.554906598103041;0.0;0.0;0.0;0.3028449094087385;0.22827205978748408;0.18795487129564442;0.0;0.0;0.20660586364061018
GO:0007021;0.0;1.0;0.0;0.0;0.8472391604421167;0.17730076730728694;0.0;0.0;0.0;0.0;0.3341097706317126;0.9031630237244461;0.0
GO:1904851;0.4897452533109255;0.0;1.0;0.6534119798227597;0.0;0.0;0.0;0.2284197757108683;0.1907752294981969;0.15634012592964464;0.0;0.0;0.17540269369437742
GO:1904871;0.554906598103041;0.0;0.6534119798227597;1.0;0.0;0.0;0.0;0.24885080525247524;0.20185236578736168;0.16564853719526082;0.0;0.0;0.18472297100245524
GO:0046931;0.0;0.8472391604421167;0.0;0.0;1.0;0.1824987925912741;0.0;0.0;0.0;0.0;0.3530595849838747;0.8472391604421167;0.0
GO:0043312;0.0;0.17730076730728694;0.0;0.0;0.1824987925912741;1.0;0.0;0.0;0.0;0.0;0.18813566419593797;0.17730076730728694;0.0
GO:0009615;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0090090;0.3028449094087385;0.0;0.2284197757108683;0.24885080525247524;0.0;0.0;0.0;1.0;0.18400110969679578;0.26196260859593756;0.0;0.0;0.1696598655105243
GO:0051973;0.22827205978748408;0.0;0.1907752294981969;0.20185236578736168;0.0;0.0;0.0;0.18400110969679578;1.0;0.4168437908186251;0.0;0.0;0.7340041393670508
GO:0045892;0.18795487129564442;0.0;0.15634012592964464;0.16564853719526082;0.0;0.0;0.0;0.26196260859593756;0.4168437908186251;1.0;0.0;0.0;0.3913431747045368
GO:0051086;0.0;0.3341097706317126;0.0;0.0;0.3530595849838747;0.18813566419593797;0.0;0.0;0.0;0.0;1.0;0.3341097706317126;0.0
GO:0051131;0.0;0.9031630237244461;0.0;0.0;0.8472391604421167;0.17730076730728694;0.0;0.0;0.0;0.0;0.3341097706317126;1.0;0.0
GO:0032212;0.20660586364061018;0.0;0.17540269369437742;0.18472297100245524;0.0;0.0;0.0;0.1696598655105243;0.7340041393670508;0.3913431747045368;0.0;0.0;1.0
