;GO:0120012;GO:0006641;GO:0042177;GO:0097190;GO:0006886;GO:0043547;GO:0006521;GO:0000165;GO:0050774;GO:0046580;GO:0006713;GO:0046167;GO:0045893;GO:0043154;GO:0048167;GO:0019563;GO:0016310;GO:0030148;GO:0042921;GO:1900740;GO:1902269;GO:0006646;GO:0033209;GO:2000649;GO:0032496;GO:0050900;GO:0033387;GO:0035621
GO:0120012;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006641;0.0;1.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.3;0.2;0.0;0.0;0.0;0.2;0.2222222222222222;0.3333333333333333;0.14285714285714285;0.0;0.0;0.4444444444444444;0.14285714285714285;0.0;0.0;0.0;0.18181818181818182;0.0
GO:0042177;0.0;0.0;1.0;0.0;0.0;0.09090909090909091;0.5;0.0;0.0;0.2727272727272727;0.09090909090909091;0.0;0.4;0.46153846153846156;0.125;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0
GO:0097190;0.0;0.14285714285714285;0.0;1.0;0.0;0.0;0.375;0.0;0.0;0.2727272727272727;0.0;0.0;0.3;0.3;0.0;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006886;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043547;0.0;0.0;0.09090909090909091;0.0;0.0;1.0;0.1;0.0;0.0;0.07692307692307693;0.09090909090909091;0.0;0.08333333333333333;0.36363636363636365;0.125;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.2;0.0;0.0;0.0;0.0
GO:0006521;0.0;0.0;0.5;0.375;0.0;0.1;1.0;0.0;0.0;0.25;0.1;0.0;0.3333333333333333;0.2727272727272727;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.1;0.0;0.0;0.0;0.0
GO:0000165;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.25;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.14285714285714285;0.625;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050774;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046580;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.07692307692307693;0.25;0.25;0.3333333333333333;1.0;0.07692307692307693;0.0;0.21428571428571427;0.3076923076923077;0.2727272727272727;0.0;0.0;0.0;0.0;0.3333333333333333;0.16666666666666666;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0
