;GO:0007050;GO:0018108;GO:1901985;GO:0032091;GO:1902715;GO:0006913;GO:0045892;GO:0002437;GO:0045893;GO:0070286;GO:0035556;GO:0033138;GO:0035397;GO:0046827;GO:0030260;GO:0060271;GO:0032088;GO:0060317;GO:0060999;GO:0042102;GO:0045657;GO:0030217;GO:0002323;GO:0010629;GO:0097011;GO:0045860;GO:0010628;GO:0050680;GO:0032355;GO:0018105;GO:2000484;GO:0030336;GO:0018107;GO:0060143;GO:0033280;GO:0008285;GO:0043123;GO:0046598;GO:0003352;GO:0045944;GO:0010718;GO:0050850;GO:0032507;GO:0000165;GO:0019064;GO:0023041;GO:0034765;GO:0070588;GO:0032464;GO:1904030;GO:0050731;GO:0050852;GO:0051149;GO:0050829;GO:0038043;GO:0090200;GO:0007169;GO:0060732;GO:0045086;GO:0030516;GO:0001973;GO:0071663;GO:0045087;GO:0006948;GO:0070374;GO:0035723;GO:0051835;GO:0050900;GO:0010524;GO:0071901;GO:0071902;GO:0030511
GO:0007050;1.0;0.125;0.2727272727272727;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.3333333333333333;0.14285714285714285;0.0;0.0;0.5;0.0;0.125;0.0;0.4444444444444444;0.125;0.0;0.0;0.5714285714285714;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.0;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.3333333333333333
GO:0018108;0.125;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.125;0.0;0.125;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901985;0.2727272727272727;0.0;1.0;0.08333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.45454545454545453;0.0;0.3;0.7;0.23076923076923078;0.25;0.0;0.0;0.18181818181818182;0.0;0.0;0.3076923076923077;0.3333333333333333;0.0;0.0;0.36363636363636365;0.0;0.7;0.5;0.2727272727272727;0.0;0.0;0.3333333333333333;0.25;0.0;0.4;0.0;0.3;0.3333333333333333;0.25;0.2727272727272727;0.4166666666666667;0.4;0.3333333333333333;0.0;0.2727272727272727;0.0;0.3;0.16666666666666666;0.0;0.3333333333333333;0.5;0.7;0.0;0.4;0.0;0.0;0.3333333333333333;0.0;0.5;0.5454545454545454;0.1111111111111111;0.0;0.25;0.0;0.0;0.6363636363636364;0.0;0.4;0.0;0.4444444444444444;0.5;0.6363636363636364;0.4
GO:0032091;0.0;0.0;0.08333333333333333;1.0;0.09090909090909091;0.0;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.07692307692307693;0.08333333333333333;0.09090909090909091;0.0;0.0;0.42857142857142855;0.0;0.0;0.08333333333333333;0.08333333333333333;0.0;0.0;0.1;0.0;0.2;0.1;0.1;0.0;0.0;0.09090909090909091;0.1;0.0;0.1111111111111111;0.0;0.1111111111111111;0.09090909090909091;0.09090909090909091;0.1;0.08333333333333333;0.1111111111111111;0.09090909090909091;0.0;0.0;0.0;0.0;0.1;0.0;0.09090909090909091;0.3;0.07692307692307693;0.0;0.1;0.0;0.0;0.08333333333333333;0.0;0.09090909090909091;0.09090909090909091;0.16666666666666666;0.0;0.1;0.0;0.0;0.08333333333333333;0.0;0.16666666666666666;0.0;0.1111111111111111;0.3;0.18181818181818182;0.1
GO:1902715;0.0;0.0;0.3333333333333333;0.09090909090909091;1.0;0.0;0.23076923076923078;0.0;0.2727272727272727;0.0;0.3;0.3076923076923077;0.25;0.5;0.0;0.0;0.2;0.0;0.0;0.25;0.36363636363636365;0.0;0.0;0.18181818181818182;0.0;0.2857142857142857;0.3;0.2727272727272727;0.0;0.0;0.75;0.25;0.0;0.3333333333333333;0.0;0.3;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.25;0.5;0.2727272727272727;0.0;0.2727272727272727;0.0;0.3;0.3333333333333333;0.0;0.2727272727272727;0.2727272727272727;0.3076923076923077;0.0;0.4;0.0;0.0;0.3333333333333333;0.0;0.36363636363636365;0.5555555555555556;0.125;0.0;0.4444444444444444;0.0;0.0;0.25;0.0;0.4;0.0;0.4444444444444444;0.1875;0.26666666666666666;0.4
GO:0006913;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045892;0.4;0.0;0.3333333333333333;0.09090909090909091;0.23076923076923078;0.0;1.0;0.0;0.75;0.0;0.3;0.3076923076923077;0.15384615384615385;0.16666666666666666;0.0;0.0;0.6;0.0;0.0;0.21428571428571427;0.23076923076923078;0.0;0.0;0.8571428571428571;0.0;0.3076923076923077;0.625;0.4;0.0;0.0;0.23076923076923078;0.3;0.0;0.2727272727272727;0.0;0.4444444444444444;0.23076923076923078;0.16666666666666666;0.2727272727272727;0.6666666666666666;0.2727272727272727;0.23076923076923078;0.0;0.2727272727272727;0.0;0.3;0.18181818181818182;0.0;0.23076923076923078;0.2727272727272727;0.3076923076923077;0.0;0.2727272727272727;0.0;0.0;0.23076923076923078;0.0;0.5;0.45454545454545453;0.125;0.0;0.18181818181818182;0.0;0.0;0.2857142857142857;0.0;0.125;0.0;0.3;0.38461538461538464;0.2857142857142857;0.2727272727272727
GO:0002437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
GO:0045893;0.0;0.0;0.45454545454545453;0.09090909090909091;0.2727272727272727;0.0;0.75;0.0;1.0;0.0;0.3;0.4166666666666667;0.25;0.2727272727272727;0.0;0.0;0.6;0.0;0.0;0.25;0.25;0.0;0.0;0.625;0.0;0.4166666666666667;0.8571428571428571;0.2727272727272727;0.0;0.0;0.2727272727272727;0.25;0.0;0.3333333333333333;0.0;0.3;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.875;0.3333333333333333;0.2727272727272727;0.0;0.2727272727272727;0.0;0.3;0.18181818181818182;0.0;0.2727272727272727;0.2727272727272727;0.4166666666666667;0.0;0.3;0.0;0.0;0.25;0.0;0.6;0.5454545454545454;0.125;0.0;0.2727272727272727;0.0;0.0;0.38461538461538464;0.0;0.3;0.0;0.3333333333333333;0.2857142857142857;0.38461538461538464;0.3
GO:0070286;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
