;GO:0007050;GO:0018108;GO:1901985;GO:0032091;GO:1902715;GO:0006913;GO:0045892;GO:0002437;GO:0045893;GO:0070286;GO:0035556;GO:0033138;GO:0035397;GO:0046827;GO:0030260;GO:0060271;GO:0032088;GO:0060317;GO:0060999;GO:0042102;GO:0045657;GO:0030217;GO:0002323;GO:0010629;GO:0097011;GO:0045860;GO:0010628;GO:0050680;GO:0032355;GO:0018105;GO:2000484;GO:0030336;GO:0018107;GO:0060143;GO:0033280;GO:0008285;GO:0043123;GO:0046598;GO:0003352;GO:0045944;GO:0010718;GO:0050850;GO:0032507;GO:0000165;GO:0019064;GO:0023041;GO:0034765;GO:0070588;GO:0032464;GO:1904030;GO:0050731;GO:0050852;GO:0051149;GO:0050829;GO:0038043;GO:0090200;GO:0007169;GO:0060732;GO:0045086;GO:0030516;GO:0001973;GO:0071663;GO:0045087;GO:0006948;GO:0070374;GO:0035723;GO:0051835;GO:0050900;GO:0010524;GO:0071901;GO:0071902;GO:0030511
GO:0007050;1.0;0.030884612668318615;0.08549489896868963;0.07219392535970019;0.07419515536255698;0.0;0.3632411607166473;0.0;0.12908148295044056;0.026262607607471563;0.1304144723763119;0.09423575485335671;0.056557061894760036;0.07153135538357447;0.0;0.03150243446982602;0.24579100039067842;0.025526913357560133;0.08590857463312807;0.09366326129263751;0.07570543229612542;0.029004436437219668;0.025168125965450386;0.351869640972001;0.023255446653902515;0.11264738814099666;0.11727814386180588;0.2773862266957988;0.0;0.030595104007648893;0.07897292413200045;0.2981874279769126;0.02825555697840355;0.08223874593404641;0.0;0.3362453756611397;0.09947629676075398;0.0666223197777781;0.07851523253888017;0.12487799165288754;0.08687173738413548;0.0864977476059147;0.07007096316516268;0.10577620345406528;0.022791514758978015;0.07329824071132221;0.09718563847344434;0.0;0.07570543229612542;0.49469243619533515;0.09978060000602015;0.09588712928850732;0.09242650041759044;0.0;0.06748421709113606;0.08363125879756991;0.11219440463512301;0.07802948104606024;0.07751153632691903;0.09336621677892189;0.07570543229612542;0.059387483231223386;0.0;0.0;0.1027486186940651;0.07802948104606024;0.06951937510977287;0.033143151849240875;0.0882418196214155;0.28012285071574883;0.10732725805944071;0.0828220307891772
GO:0018108;0.030884612668318615;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026843017721533236;0.041427553727127774;0.0;0.0;0.0;0.0;0.032341250484855484;0.0;0.026074921617677892;0.0;0.0;0.0;0.02971400005610903;0.025700676998121553;0.0;0.02370939980386463;0.0;0.0;0.0;0.0;0.65800353486308;0.0;0.0;0.6064889117601352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028703065107443027;0.6907534431525209;0.02322736667005061;0.022941277152828832;0.0;0.0;0.0;0.0;0.0;0.030186982052920263;0.0;0.0;0.02108997603455521;0.0;0.03547072969626484;0.0;0.0;0.0;0.02370939980386463;0.0;0.0;0.0;0.0;0.024451897228887267;0.0;0.03407290741867805;0.027725161210271056;0.0;0.0;0.0
GO:1901985;0.08549489896868963;0.0;1.0;0.06328136891909865;0.1782000748287896;0.0;0.24086240047693072;0.0;0.41116624245191585;0.0;0.10910603952702484;0.4797350171970439;0.14119151892892043;0.1745173980702585;0.0;0.0;0.18397154021792275;0.0;0.20312628886579484;0.21920637842668325;0.18145805783473196;0.0;0.0;0.2426690665406186;0.0;0.5599355837302372;0.41428918430139716;0.08378478027826483;0.0;0.0;0.188461621941344;0.08922825070084613;0.0;0.19540062925856752;0.0;0.09892936136783027;0.2310471087605965;0.16376022022046757;0.07025473082669588;0.3998862296105036;0.20514147395274868;0.20435960201970302;0.06164428037464609;0.09131205064469262;0.0;0.06604833504988294;0.0833938567644867;0.0;0.18145805783473196;0.36713468543498645;0.5042931033660083;0.2019341669865801;0.21666382421643907;0.0;0.0612902287157458;0.19834100786140335;0.0960556173977873;0.2603430241677171;0.35535223877662836;0.0819131841077346;0.06799655897155739;0.14760895997769155;0.0;0.0;0.5172932066983195;0.06986556004827667;0.16802880927350244;0.0;0.2079991926185097;0.4141721160561664;0.5371526647848466;0.19663359983032058
GO:0032091;0.07219392535970019;0.0;0.06328136891909865;1.0;0.05517835974545515;0.0;0.09133489754993127;0.0;0.09383243580588932;0.0;0.09474953409777101;0.06949705623187538;0.047995785998861604;0.06027053960254345;0.0;0.0;0.5220710559863361;0.0;0.06357656120002332;0.06909133804965152;0.056265827365420885;0.0;0.0;0.09539491802989612;0.0;0.3938954980375377;0.09670907741561263;0.0706085657030838;0.0;0.0;0.05861385433020507;0.07567705842739336;0.0;0.06095425904611921;0.0;0.08487253239990207;0.0732019771037675;0.056265827365420885;0.05828534381148106;0.09093383997127037;0.06426346300558074;0.06399680924402669;0.06740195747318402;0.07763452119484439;0.0;0.0545318870697717;0.08089799920873399;0.0;0.056265827365420885;0.4815640973251841;0.0734166152329172;0.07066627828055158;0.0682142015209459;0.0;0.05032943784539327;0.061950237577210576;0.08212653818042955;0.057936555134918515;0.0575644937945887;0.06888075044068304;0.056265827365420885;0.05032943784539327;0.0;0.0;0.07550724115038705;0.057936555134918515;0.05180281643722896;0.0;0.0652396163316577;0.549356293339834;0.3761201307633395;0.06137158808521099
GO:1902715;0.07419515536255698;0.0;0.1782000748287896;0.05517835974545515;1.0;0.0;0.08889167044662898;0.0;0.24203241712937051;0.0;0.091351229638843;0.19211835108784164;0.12784066649830556;0.5240515040149019;0.0;0.0;0.07053382854642229;0.0;0.34978734135188005;0.1912254346842491;0.31650554731954067;0.0;0.0;0.08079548610364566;0.0;0.2195295470912551;0.22335613810853622;0.07290379748994728;0.0;0.0;0.6754467620214757;0.316876569443915;0.0;0.17285458403489162;0.0;0.08410720925687065;0.2001745322794271;0.14606754509470524;0.2569905423379056;0.2364404288249254;0.35283956923416177;0.17982849871621;0.053929542072738756;0.07853718694844537;0.0;0.05909539690818326;0.3993188258813239;0.0;0.16185330607084514;0.06609022054887985;0.20063592321457294;0.1756923439145069;0.1892876807079145;0.0;0.05525723054122631;0.17515157736523024;0.08202099758993997;0.1658097198801888;0.5039798474964093;0.28298583022162127;0.06065020204840553;0.39559264070533734;0.0;0.0;0.20509997797462362;0.062132762415870395;0.15108298070154727;0.0;0.4343312125705586;0.07344982785722892;0.2118604431271683;0.17381873827952074
GO:0006913;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2683925192664357;0.0;0.0;0.0;0.0;0.32654285398849986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045892;0.3632411607166473;0.0;0.24086240047693072;0.09133489754993127;0.08889167044662898;0.0;1.0;0.0;0.6001377790826293;0.0;0.1838390859175512;0.2720332622189823;0.0660103759958608;0.08735334236124351;0.0;0.0;0.38198982102203943;0.0;0.10624778840178443;0.11836807684677403;0.09106828856370207;0.0;0.0;0.9335716346175728;0.0;0.34299516041547295;0.5380254238274514;0.3526778513993157;0.0;0.0;0.095838254975791;0.38700250447216433;0.0;0.10069076362213845;0.0;0.4536411091024532;0.12780655108908698;0.0801419456740418;0.09516503483004256;0.5730594812118888;0.10772492533951027;0.10715042995186162;0.0879632547849903;0.13839678756159693;0.0;0.08760732017402162;0.12890814474515255;0.0;0.09106828856370207;0.44649607146665077;0.292616218265514;0.12194218742949874;0.1163997082121214;0.0;0.07942837835552166;0.10278622003961259;0.14959356579439628;0.280833199783683;0.286446684900065;0.11789406517755223;0.09106828856370207;0.06989858801060886;0.0;0.0;0.30390482281457565;0.09445235949848266;0.08226283237521054;0.0;0.10983972539840982;0.5299903128859621;0.32170418587240696;0.10156655100741038
GO:0002437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35287194045240333;0.31186608729334275;0.0;0.16583283403133467;0.0;0.0;0.0;0.20461758077879122;0.0;0.0;0.0;0.0;0.0;0.18153051531483258;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3575896147567969;0.0;0.4576173432907602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5506292570760445;0.0;0.0;0.0;0.0;0.3954711341788443;0.0;0.0;0.0;0.0
GO:0045893;0.12908148295044056;0.0;0.41116624245191585;0.09383243580588932;0.24203241712937051;0.0;0.6001377790826293;0.0;1.0;0.0;0.19172382843992442;0.46583554173700087;0.18373432270189466;0.24448977696663843;0.0;0.0;0.3921065436516864;0.0;0.29043984917193694;0.3244731532592718;0.24808211474491726;0.0;0.0;0.5499468825233175;0.0;0.5915829851878555;0.9518295132107676;0.1252225485183641;0.0;0.0;0.2613608243133312;0.13778558676331634;0.0;0.27489906454512864;0.0;0.16237290919332947;0.35110760562308285;0.22388634722624562;0.09723505144124203;0.9530631025384096;0.29457747363352793;0.2929679153862498;0.09027746638255132;0.1428184322642866;0.0;0.08935857852328079;0.13327542745812104;0.0;0.24808211474491726;0.24261446216654714;0.502123826509411;0.3019167046016149;0.31893316202018873;0.0;0.08086522718411576;0.2807545766969547;0.15477299217522342;0.46753914922303347;0.4766328633085545;0.12108755113377877;0.09296214423503367;0.1947526111929901;0.0;0.0;0.5220900614287184;0.09649115606015833;0.22364518136505013;0.0;0.30050614310118023;0.28927042084998794;0.5536646751315002;0.2773456684955538
GO:0070286;0.026262607607471563;0.026843017721533236;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.03351555634626716;0.0;0.0;0.0;0.0;0.379755530099577;0.0;0.022701788385184413;0.0;0.0;0.0;0.025411322505806522;0.022417580063018763;0.0;0.020887409289556614;0.0;0.0;0.0;0.0;0.026624053587460058;0.0;0.0;0.024834650414957006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024668302764326286;0.028049539619824274;0.17334572306126078;0.020288947381260032;0.0;0.0;0.0;0.0;0.0;0.025756447992778146;0.0;0.0;0.018827336441713426;0.0;0.029506684242475937;0.0;0.0;0.0;0.020887409289556614;0.0;0.0;0.0;0.0;0.021461535260672113;0.0;0.028532951553336246;0.02394252600276957;0.0;0.0;0.0
