;GO:0043306;GO:0090197;GO:1901741;GO:1902513;GO:0045626;GO:0043687;GO:0032091;GO:0042832;GO:0043524;GO:0010835;GO:0097345;GO:0047497;GO:0030828;GO:0043032;GO:0002639;GO:0032147;GO:0051965;GO:0010499;GO:0050731;GO:0016579;GO:0035771;GO:0046928;GO:0034640;GO:0006351;GO:0050805;GO:0009743;GO:0045630;GO:0045773;GO:0007266;GO:0006357;GO:0010629;GO:0043161;GO:0007614;GO:0031668;GO:0051056;GO:0016064
GO:0043306;1.0;0.2063492063492064;0.09999999999999998;0.17021276595744683;0.1063829787234043;0.0;0.04081632653061229;0.0;0.07272727272727275;0.07692307692307687;0.033333333333333326;0.0;0.07692307692307687;0.2666666666666667;0.17021276595744683;0.07792207792207795;0.10526315789473684;0.0;0.08823529411764708;0.0;0.08333333333333337;0.17647058823529416;0.0;0.0;0.07692307692307687;0.0;0.2195121951219512;0.07499999999999996;0.08163265306122447;0.06779661016949157;0.06000000000000005;0.0;0.0;0.0;0.10416666666666663;0.0
GO:0090197;0.2063492063492064;1.0;0.125;0.16216216216216217;0.05747126436781613;0.0;0.05405405405405406;0.0;0.09302325581395354;0.09999999999999998;0.04166666666666663;0.0;0.09090909090909094;0.15384615384615385;0.10256410256410253;0.09230769230769231;0.18604651162790697;0.0;0.1071428571428571;0.0;0.11111111111111116;0.19999999999999996;0.0;0.0;0.09999999999999998;0.0;0.09999999999999998;0.12121212121212122;0.10810810810810811;0.08510638297872342;0.07894736842105265;0.0;0.0;0.0;0.10810810810810811;0.0
GO:1901741;0.09999999999999998;0.125;1.0;0.13793103448275867;0.07894736842105265;0.0;0.07407407407407407;0.0;0.12121212121212122;0.1333333333333333;0.052631578947368474;0.0;0.1071428571428571;0.2068965517241379;0.13793103448275867;0.10909090909090913;0.32258064516129037;0.0;0.13043478260869568;0.0;0.15384615384615385;0.11764705882352944;0.0;0.0;0.1333333333333333;0.0;0.1470588235294118;0.2549019607843137;0.14814814814814814;0.10810810810810811;0.1071428571428571;0.0;0.0;0.0;0.14814814814814814;0.0
GO:1902513;0.17021276595744683;0.16216216216216217;0.13793103448275867;1.0;0.05970149253731338;0.0;0.125;0.0;0.18181818181818177;0.21052631578947367;0.07407407407407407;0.0;0.08510638297872342;0.19999999999999996;0.1578947368421053;0.08695652173913049;0.15384615384615385;0.0;0.10810810810810811;0.0;0.2666666666666667;0.35;0.0;0.0;0.21052631578947367;0.0;0.06349206349206349;0.08163265306122447;0.25;0.15384615384615385;0.17647058823529416;0.0;0.0;0.0;0.25;0.0
GO:0045626;0.1063829787234043;0.05747126436781613;0.07894736842105265;0.05970149253731338;1.0;0.0;0.03076923076923077;0.0;0.08695652173913049;0.05882352941176472;0.02631578947368418;0.0;0.04166666666666663;0.10606060606060608;0.0757575757575758;0.04210526315789476;0.09722222222222221;0.0;0.046511627906976716;0.0;0.0625;0.05555555555555558;0.0;0.0;0.09090909090909094;0.0;0.31818181818181823;0.08510638297872342;0.06153846153846154;0.053333333333333344;0.06153846153846154;0.0;0.0;0.0;0.078125;0.0
GO:0043687;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.06451612903225812;0.06060606060606055;0.0;0.0;0.0;0.0;0.0;0.34782608695652173;0.0;0.8333333333333334;0.09523809523809523;0.0;0.0714285714285714;0.2647058823529411;0.0;0.0;0.0;0.0;0.09090909090909094;0.0;0.0;0.3928571428571429;0.0;0.09523809523809523;0.0;0.0
GO:0032091;0.04081632653061229;0.05405405405405406;0.07407407407407407;0.125;0.03076923076923077;0.0;1.0;0.0;0.09999999999999998;0.11764705882352944;0.08695652173913049;0.0;0.0444444444444444;0.11111111111111116;0.125;0.06976744186046513;0.08333333333333337;0.0;0.05714285714285716;0.0;0.15384615384615385;0.09523809523809523;0.0;0.0;0.11764705882352944;0.0;0.032786885245901676;0.04255319148936165;0.1428571428571429;0.08333333333333337;0.1428571428571429;0.0;0.0;0.0;0.1428571428571429;0.0
GO:0042832;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1875;0.0;0.10526315789473684
GO:0043524;0.07272727272727275;0.09302325581395354;0.12121212121212122;0.18181818181818177;0.08695652173913049;0.0;0.09999999999999998;0.0;1.0;0.17391304347826086;0.06451612903225812;0.0;0.07843137254901966;0.16666666666666663;0.13043478260869568;0.07999999999999996;0.1333333333333333;0.0;0.09756097560975607;0.0;0.21052631578947367;0.14814814814814814;0.0;0.0;0.2857142857142857;0.0;0.05970149253731338;0.07547169811320753;0.19999999999999996;0.1333333333333333;0.19999999999999996;0.0;0.0;0.0;0.19999999999999996;0.0
GO:0010835;0.07692307692307687;0.09999999999999998;0.1333333333333333;0.21052631578947367;0.05882352941176472;0.0;0.11764705882352944;0.0;0.17391304347826086;1.0;0.0714285714285714;0.0;0.18181818181818177;0.19047619047619047;0.15000000000000002;0.3076923076923077;0.14814814814814814;0.0;0.4;0.0;0.25;0.16666666666666663;0.0;0.0;0.19999999999999996;0.0;0.0625;0.07999999999999996;0.23529411764705888;0.40909090909090906;0.3125;0.0;0.0;0.0;0.23529411764705888;0.0
