;GO:0043306;GO:0090197;GO:1901741;GO:1902513;GO:0045626;GO:0043687;GO:0032091;GO:0042832;GO:0043524;GO:0010835;GO:0097345;GO:0047497;GO:0030828;GO:0043032;GO:0002639;GO:0032147;GO:0051965;GO:0010499;GO:0050731;GO:0016579;GO:0035771;GO:0046928;GO:0034640;GO:0006351;GO:0050805;GO:0009743;GO:0045630;GO:0045773;GO:0007266;GO:0006357;GO:0010629;GO:0043161;GO:0007614;GO:0031668;GO:0051056;GO:0016064
GO:0043306;1.0;0.35547810013837394;0.20603259326762322;0.3126419938298273;0.20953417657794118;0.0;0.11106018343514815;0.0;0.16430016260914043;0.17234411803903474;0.09249922755386718;0.0;0.1645252807938934;0.43234455902607927;0.31174617385444603;0.16578910931827884;0.21472217724052078;0.0;0.18520949033838424;0.0;0.18436586265007895;0.3188816229553665;0.0;0.0;0.17232439809739236;0.0;0.37078535356694875;0.16058531103854526;0.18116938934205154;0.1545399038077537;0.14513780765323248;0.0;0.0;0.0;0.2175165627470334;0.0
GO:0090197;0.35547810013837394;1.0;0.2481127730173903;0.30605246246168044;0.12987872488183197;0.0;0.14149592293216834;0.0;0.2023909678204454;0.21473717495463512;0.11268728699194856;0.0;0.19029794215338777;0.29283485080584054;0.21929414614184417;0.19199077456934718;0.33422130558184787;0.0;0.21852594483930848;0.0;0.23372631841211214;0.352148264876681;0.0;0.0;0.21470656131673674;0.0;0.2012815230728943;0.23711986947491145;0.22861286807497744;0.18778174227429506;0.1831943687169994;0.0;0.0;0.0;0.2288360251762117;0.0
GO:1901741;0.20603259326762322;0.2481127730173903;1.0;0.2779640976015496;0.16824705446312754;0.0;0.18400659981702758;0.0;0.25155595228368033;0.2709159052214882;0.1380955732711381;0.0;0.21925199237316922;0.36752025239865194;0.2782096179007376;0.22150219222329487;0.4963902470042197;0.0;0.2575885542484934;0.0;0.30185625383392706;0.24415652920720698;0.0;0.0;0.2708671800609731;0.0;0.2741852339291503;0.41899243658125623;0.2933812807029436;0.2293757826127678;0.2351807982468837;0.0;0.0;0.0;0.2937488966034598;0.0
GO:1902513;0.3126419938298273;0.30605246246168044;0.2779640976015496;1.0;0.13838700247211158;0.0;0.27268424665504365;0.0;0.3412987190567354;0.37794206160687505;0.18268112505925577;0.0;0.18862486882525967;0.36482435582948636;0.3139502527162349;0.19094712478629428;0.3008189572305765;0.0;0.22951878892738137;0.0;0.4410024687392469;0.5223792388684257;0.0;0.0;0.3778472407507684;0.0;0.1460283474361869;0.18151968043641362;0.4231443652805184;0.3017151879469762;0.33944918660350654;0.0;0.0;0.0;0.4239095166716659;0.0
GO:0045626;0.20953417657794118;0.12987872488183197;0.16824705446312754;0.13838700247211158;1.0;0.0;0.08643286068441154;0.0;0.18300566521968298;0.13661747987172634;0.07475826272598299;0.0;0.10024733792062758;0.21404269829156902;0.1656680554894021;0.10089950654814764;0.19897046085849146;0.0;0.11073288283755549;0.0;0.14406397998387357;0.12946226613549297;0.0;0.0;0.19009083581723993;0.0;0.4892749752221276;0.17512947918123029;0.14210481969845368;0.12518490771300675;0.1422181828177562;0.0;0.0;0.0;0.1705862020970817;0.0
GO:0043687;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.16307073525978352;0.15461030794166536;0.0;0.0;0.0;0.0;0.0;0.5208428179207395;0.0;0.8694490711213908;0.22260481654735306;0.0;0.1767541537202256;0.4367152629929068;0.0;0.0;0.0;0.0;0.2148655877290908;0.0;0.0;0.5681974236252135;0.0;0.22217574618829197;0.0;0.0
GO:0032091;0.11106018343514815;0.14149592293216834;0.18400659981702758;0.27268424665504365;0.08643286068441154;0.0;1.0;0.0;0.2322443278199977;0.2614040314768307;0.20721818936335915;0.0;0.12025591032890513;0.25085589037770195;0.2730839827350067;0.1648854226049674;0.20110826862143555;0.0;0.14884275260526242;0.0;0.31389400256441463;0.22175370132273253;0.0;0.0;0.2613273394827628;0.0;0.09148846497671126;0.11538726916898252;0.29872188086875223;0.20178579855588133;0.2995706011747483;0.0;0.0;0.0;0.2993668618611499;0.0
GO:0042832;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29926537300801415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3482400504275714;0.0;0.23936715094226188
GO:0043524;0.16430016260914043;0.2023909678204454;0.25155595228368033;0.3412987190567354;0.18300566521968298;0.0;0.2322443278199977;0.0;1.0;0.3307337621255843;0.16359692642373933;0.0;0.17608114719067278;0.32064468571733323;0.27343850854560836;0.1781031533779321;0.2701293346008395;0.0;0.21121047715957095;0.0;0.37803855527111124;0.29170414681205165;0.0;0.0;0.46012674054238684;0.0;0.13839571394221;0.16987399094653216;0.3648394750357953;0.27085180645996104;0.3655876465842215;0.0;0.0;0.0;0.3654081520805199;0.0
GO:0010835;0.17234411803903474;0.21473717495463512;0.2709159052214882;0.37794206160687505;0.13661747987172634;0.0;0.2614040314768307;0.0;0.3307337621255843;1.0;0.1775483139271155;0.0;0.3308642284972052;0.3527784245210308;0.30283134726495253;0.47843225200745765;0.2925812521935165;0.0;0.5730439908163987;0.0;0.4235212863008348;0.3180606467753449;0.0;0.0;0.3649411810444013;0.0;0.1440594036161012;0.17848728699790273;0.4070244197671674;0.5814918656511416;0.4881840240012605;0.0;0.0;0.0;0.40773233501029765;0.0
