;GO:0043306;GO:0090197;GO:1901741;GO:1902513;GO:0045626;GO:0043687;GO:0032091;GO:0042832;GO:0043524;GO:0010835;GO:0097345;GO:0047497;GO:0030828;GO:0043032;GO:0002639;GO:0032147;GO:0051965;GO:0010499;GO:0050731;GO:0016579;GO:0035771;GO:0046928;GO:0034640;GO:0006351;GO:0050805;GO:0009743;GO:0045630;GO:0045773;GO:0007266;GO:0006357;GO:0010629;GO:0043161;GO:0007614;GO:0031668;GO:0051056;GO:0016064
GO:0043306;1.0;0.5357627407489655;0.17691709245464474;0.5234882048149191;0.47031859093125317;0.0;0.057936555134918515;0.0;0.07739640580181796;0.06318839301536254;0.04812204084235154;0.0;0.17759815901047438;0.5531593726897098;0.6798999267173235;0.22179265004855772;0.19464379147844413;0.0;0.21114984826984917;0.0;0.05990430059695317;0.504896804867247;0.0;0.0;0.07276011422126542;0.0;0.6022685507518882;0.18718230638943398;0.07449707480205332;0.10267279541001152;0.0860264423269914;0.0;0.0;0.0;0.25984414551858426;0.0
GO:0090197;0.5357627407489655;1.0;0.17591835812217224;0.3095389874168438;0.23168907898998048;0.0;0.0575644937945887;0.0;0.07688680400840746;0.06284830663696661;0.04786507819519529;0.0;0.17659174221956825;0.17901311377152754;0.1679175500428206;0.22022523771230096;0.3782649424739317;0.0;0.20972877062394082;0.0;0.05959856069666081;0.501790191280397;0.0;0.0;0.0723095596143837;0.0;0.3225262430953266;0.36385109400175575;0.07402482157388071;0.1017779103404574;0.08531226008202812;0.0;0.0;0.0;0.08263952455899813;0.0
GO:1901741;0.17691709245464474;0.17591835812217224;1.0;0.06460980428665976;0.3027908786639505;0.0;0.05950007366445977;0.0;0.07953973536103477;0.06460980428665976;0.04919579505644232;0.0;0.18181078395344266;0.18437843476224489;0.1731547490889254;0.22840173359421012;0.43488747587736853;0.0;0.217131318408386;0.0;0.06118030945748724;0.07416141918200261;0.0;0.0;0.07465121320403356;0.0;0.40362432961234873;0.4569531395798151;0.0764807725723584;0.10647910216506665;0.08905749692354173;0.0;0.0;0.0;0.08571222806833306;0.0
GO:1902513;0.5234882048149191;0.3095389874168438;0.06460980428665976;1.0;0.05748943163641322;0.0;0.056265827365420885;0.0;0.0751093627406264;0.06165564890834163;0.046963756519824214;0.0;0.06485218253718107;0.06572342758279962;0.06006840134022199;0.08047937859737837;0.0709029784267545;0.0;0.07673413073524005;0.0;0.0585250000880146;0.46742831419106695;0.0;0.0;0.0707352824998966;0.0;0.06065020204840553;0.06825796979101119;0.0723758230831306;0.09868647243020927;0.08284047507052784;0.0;0.0;0.0;0.08058969986148781;0.0
GO:0045626;0.47031859093125317;0.23168907898998048;0.3027908786639505;0.05748943163641322;1.0;0.0;0.05180281643722896;0.0;0.19982349543049593;0.05748943163641322;0.04381312964590267;0.0;0.06025886400317226;0.4526300426819845;0.5052495479028867;0.07352438050185192;0.31621039400314116;0.0;0.07038586554827916;0.0;0.054758207775648764;0.06493053510876767;0.0;0.0;0.18907979028930874;0.0;0.7572204907269079;0.318618033064428;0.0667015471606305;0.08842914798015818;0.2270466831800221;0.0;0.0;0.0;0.22983468577468497;0.0
GO:0043687;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.024799580381822794;0.026802050816314413;0.0;0.0;0.0;0.0;0.0;0.276118406974995;0.0;0.43776439180273785;0.023398701818713976;0.0;0.021023545921079446;0.35286045339555755;0.0;0.0;0.0;0.0;0.031159948647603596;0.0;0.0;0.36369194740621374;0.0;0.034952313900707827;0.0;0.0
GO:0032091;0.057936555134918515;0.0575644937945887;0.05950007366445977;0.056265827365420885;0.05180281643722896;0.0;1.0;0.0;0.0714891263149463;0.056265827365420885;0.055750877938026494;0.0;0.05976805595784252;0.06073466336935145;0.06357656120002332;0.3723692329360819;0.06659073966401222;0.0;0.0734166152329172;0.0;0.052901621291111804;0.0658938935624581;0.0;0.0;0.06639814662755432;0.0;0.05517835974545515;0.06357656120002332;0.06829103885620481;0.1015801086265849;0.09539491802989612;0.0;0.0;0.0;0.07807203763337812;0.0
GO:0042832;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19984310793743937;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44258069232885544;0.0;0.16608665204831274
GO:0043524;0.07739640580181796;0.07688680400840746;0.07953973536103477;0.0751093627406264;0.19982349543049593;0.0;0.0714891263149463;0.0;1.0;0.0751093627406264;0.05711550718513356;0.0;0.07990739141320362;0.08123424071229172;0.07492653459727273;0.10503817047534096;0.08929699422590882;0.0;0.09874772203108591;0.0;0.07051430111061184;0.08833538072956382;0.0;0.0;0.2577722847646627;0.0;0.07362254108662455;0.0851418220058609;0.09164580693867025;0.13835264886880383;0.3470903910332615;0.0;0.0;0.0;0.10522617400603454;0.0
GO:0010835;0.06318839301536254;0.06284830663696661;0.06460980428665976;0.06165564890834163;0.05748943163641322;0.0;0.056265827365420885;0.0;0.0751093627406264;1.0;0.046963756519824214;0.0;0.14789886806733596;0.06572342758279962;0.06006840134022199;0.3944336477397204;0.0709029784267545;0.0;0.3760779918972096;0.0;0.0585250000880146;0.07029537494338661;0.0;0.0;0.0707352824998966;0.0;0.06065020204840553;0.06825796979101119;0.0723758230831306;0.2250597743201371;0.20811842797166386;0.0;0.0;0.0;0.08058969986148781;0.0
