;GO:0018108;GO:0007098;GO:0014065;GO:0007173;GO:0036092;GO:0006366;GO:0046854;GO:0046777;GO:0090050;GO:0006887;GO:0046855;GO:0046856;GO:0032526;GO:0048489;GO:0048488;GO:0032288;GO:0001829;GO:0030224;GO:0034504;GO:0035556;GO:1904980;GO:0045815;GO:0030183;GO:0006497;GO:0048008;GO:0043353;GO:0043312;GO:0006897;GO:0042147;GO:0046822;GO:0042149;GO:0030217;GO:0030219;GO:0016082;GO:0035508;GO:0014829;GO:0048015;GO:0043484;GO:0045022;GO:0016485;GO:0018105;GO:0030851;GO:0018107;GO:2001032;GO:0007032;GO:0034497;GO:0008286;GO:0006021;GO:0006464;GO:0006661;GO:0043201;GO:0045944;GO:0006468;GO:0001892;GO:0000122;GO:0000045;GO:0016191;GO:0048268;GO:0051384;GO:0030242;GO:0032465;GO:0048260;GO:0016236;GO:1904562;GO:0014015;GO:0034162;GO:0015782;GO:0050708;GO:0006351;GO:0035690;GO:0006470;GO:0006355;GO:0005980;GO:0006357;GO:0098884;GO:0005978;GO:0010923;GO:0001779;GO:0048596;GO:2000785
GO:0018108;1.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.22480199536001946;0.10587402764930422;0.2794464493768247;0.30379685991921485;0.0;0.01468324974140624;0.22480199536001946;0.22480199536001946;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.18032682375526765;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.1468397877411918;0.30783551572057777;0.01468324974140624;0.30783551572057777;0.0;0.01468324974140624;0.0;0.01468324974140624;0.06927734236639929;0.18032682375526765;0.22480199536001946;0.0;0.0;0.30379685991921485;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.06886689890529227;0.0;0.0;0.06886689890529227;0.22480199536001946;0.0;0.01468324974140624;0.0;0.0;0.10587402764930422;0.01468324974140624;0.22480199536001946;0.0;0.10587402764930422;0.0;0.10587402764930422;0.10587402764930422;0.0;0.01468324974140624;0.0;0.0
GO:0007098;0.01468324974140624;1.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.12408495164008174;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.12408495164008174;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.12408495164008174;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.12408495164008174;0.12408495164008174;0.12408495164008174;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0
GO:0014065;0.01468324974140624;0.01468324974140624;1.0;0.12659489728285286;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.24553006275393716;0.047799631016701725;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.12659489728285286;0.01468324974140624;0.01468324974140624;0.0;0.0;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.036692364793703955;0.5778763112348352;0.047799631016701725;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.0;0.12659489728285286;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.047799631016701725;0.01468324974140624;0.0;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.12659489728285286;0.0;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.036692364793703955;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.0;0.047799631016701725
GO:0007173;0.01468324974140624;0.01468324974140624;0.12659489728285286;1.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.12659489728285286;0.047799631016701725;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.36457407069507686;0.01468324974140624;0.01468324974140624;0.0;0.0;0.042064647228987374;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.036692364793703955;0.12659489728285286;0.047799631016701725;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.0;0.36457407069507686;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.047799631016701725;0.01468324974140624;0.0;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.047799631016701725;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.12659489728285286;0.0;0.047799631016701725;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.047799631016701725;0.036692364793703955;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.0;0.047799631016701725
GO:0036092;0.22480199536001946;0.01468324974140624;0.01468324974140624;0.01468324974140624;1.0;0.14450116634992752;0.4483392729004174;0.22480199536001946;0.0;0.01468324974140624;0.30368378075566843;0.4483392729004174;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.06927734236639929;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.06927734236639929;0.22480199536001946;0.01468324974140624;0.22480199536001946;0.0;0.01468324974140624;0.0;0.01468324974140624;0.14450116634992752;0.06927734236639929;0.5029379352731107;0.0;0.0;0.22480199536001946;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.06886689890529227;0.0;0.0;0.06886689890529227;0.4483392729004174;0.0;0.01468324974140624;0.0;0.0;0.14450116634992752;0.01468324974140624;0.22480199536001946;0.0;0.06927734236639929;0.0;0.06886689890529227;0.14450116634992752;0.0;0.01468324974140624;0.0;0.0
GO:0006366;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.14450116634992752;1.0;0.06927734236639929;0.10587402764930422;0.0;0.01468324974140624;0.06927734236639929;0.06927734236639929;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.10587402764930422;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.08547128021085358;0.10587402764930422;0.01468324974140624;0.10587402764930422;0.0;0.01468324974140624;0.0;0.01468324974140624;0.14450116634992752;0.10587402764930422;0.14450116634992752;0.0;0.0;0.10587402764930422;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.06886689890529227;0.0;0.0;0.06886689890529227;0.06927734236639929;0.0;0.01468324974140624;0.0;0.0;0.20325151924801574;0.01468324974140624;0.10587402764930422;0.0;0.10587402764930422;0.0;0.10587402764930422;0.18244634003048496;0.0;0.01468324974140624;0.0;0.0
GO:0046854;0.2794464493768247;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.4483392729004174;0.06927734236639929;1.0;0.2794464493768247;0.0;0.01468324974140624;0.30368378075566843;0.4483392729004174;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.06927734236639929;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.06927734236639929;0.2794464493768247;0.01468324974140624;0.2794464493768247;0.0;0.01468324974140624;0.0;0.01468324974140624;0.06927734236639929;0.06927734236639929;0.4483392729004174;0.0;0.0;0.2794464493768247;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.06886689890529227;0.0;0.0;0.06886689890529227;0.4483392729004174;0.0;0.01468324974140624;0.0;0.0;0.06927734236639929;0.01468324974140624;0.22480199536001946;0.0;0.06927734236639929;0.0;0.06886689890529227;0.06927734236639929;0.0;0.01468324974140624;0.0;0.0
GO:0046777;0.30379685991921485;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.22480199536001946;0.10587402764930422;0.2794464493768247;1.0;0.0;0.01468324974140624;0.22480199536001946;0.22480199536001946;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.18032682375526765;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.1468397877411918;0.30379685991921485;0.01468324974140624;0.30379685991921485;0.0;0.01468324974140624;0.0;0.01468324974140624;0.06927734236639929;0.18032682375526765;0.22480199536001946;0.0;0.0;0.30379685991921485;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.06886689890529227;0.0;0.0;0.06886689890529227;0.22480199536001946;0.0;0.01468324974140624;0.0;0.0;0.10587402764930422;0.01468324974140624;0.22480199536001946;0.0;0.10587402764930422;0.0;0.10587402764930422;0.10587402764930422;0.0;0.01468324974140624;0.0;0.0
GO:0090050;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.19673256925640645;0.0;0.0;0.0;0.0;0.12755981097713553;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.12755981097713553;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.19673256925640645;0.0;0.0;0.2688665324497557;0.11511873865597294;0.0;0.19673256925640645;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.036692364793703955;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725
GO:0006887;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;1.0;0.01468324974140624;0.01468324974140624;0.0;0.23890105842610806;0.23890105842610806;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.13331334997803274;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.3231714079313524;0.23890105842610806;0.23890105842610806;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.23890105842610806;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.13331334997803274;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.14698621595948655;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.23890105842610806;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0
