id	name	nbGenes	ICSeco	ICZhou	ICSanchez	ICMazandu
GO:0008584	male gonad development	12	1.00	0.79	9.63	50.96
GO:0009987	cellular process	952	0.09	0.05	0.84	3.37
GO:0050789	regulation of biological process	788	0.09	0.17	1.80	4.47
GO:0030330	DNA damage response, signal transduction by p53 class mediator	8	0.89	0.80	9.49	85.95
GO:0044237	cellular metabolic process	461	0.16	0.21	2.71	13.80
GO:0002376	immune system process	326	0.38	0.19	3.93	3.37
GO:0070207	protein homotrimerization	4	1.00	0.85	9.63	85.45
