;GO:0032693;GO:0045807;GO:0034351;GO:0036092;GO:0046854;GO:0022008;GO:0048633;GO:0045766;GO:0003334;GO:0072070;GO:0072583;GO:0030307;GO:0071376;GO:0044320;GO:0001947;GO:0031077;GO:0050679;GO:0048008;GO:0009444;GO:0045652;GO:0042542;GO:0010828;GO:0045662;GO:0031100;GO:0051897;GO:0035265;GO:0008286;GO:0008285;GO:0008284;GO:0045786;GO:0045787;GO:0038097;GO:0045664;GO:0046632;GO:1904754;GO:0045944;GO:0043401;GO:0021773;GO:0048538;GO:0043524;GO:0048661;GO:0000165;GO:0051549;GO:2000253;GO:0038128;GO:0050852;GO:0050731;GO:0051545;GO:0030522;GO:0031295;GO:0033077;GO:1903672;GO:0038089;GO:0044344;GO:0003323;GO:0007517;GO:0035767;GO:0050900;GO:0001938;GO:0035924;GO:0045608;GO:0018108;GO:0007173;GO:0006366;GO:0002042;GO:0045444;GO:0043303;GO:0006367;GO:1903208;GO:0060326;GO:0098773;GO:0002315;GO:0010613;GO:0032765;GO:0090668;GO:0090303;GO:0021902;GO:0003382;GO:0045333;GO:0042104;GO:1900746;GO:1900625;GO:0001756;GO:0072014;GO:0001757;GO:2000726;GO:0010469;GO:0014002;GO:0045747;GO:0000122;GO:1904707;GO:0046321;GO:0071870;GO:0031532;GO:0045638;GO:0006351;GO:0033153;GO:0060853;GO:2000108;GO:0014807;GO:0048752;GO:0043066
GO:0032693;1.0;0.31406774648220337;0.3931832492574467;0.0;0.0;0.0;0.2936615914548008;0.3928367243634321;0.0;0.0;0.0;0.3540840400244627;0.0;0.0;0.0;0.0;0.37039078083368787;0.3692527064731809;0.0;0.424384555236427;0.0;0.35439883269763006;0.4250765841661886;0.0;0.2732639281647611;0.0;0.3692527064731809;0.5078660144727983;0.4064442235622635;0.5078576932909891;0.4064375137701221;0.19102856904132237;0.4250193865776571;0.0;0.2649525792072824;0.17254897257096077;0.4049476776233737;0.0;0.0;0.36573849165709305;0.3703876420854088;0.2147119303328441;0.3109697549622873;0.40626881209086474;0.3536835912046713;0.24023947624738892;0.19232718522699338;0.24014653058786734;0.4255730330714507;0.22148158531839335;0.0;0.3656621742685263;0.24082403481722897;0.0;0.0;0.0;0.0;0.0;0.3403041132801447;0.0;0.28810010858328705;0.0;0.3536835912046713;0.0;0.0;0.0;0.0;0.0;0.23466197995170465;0.0;0.0;0.0;0.39243906669394557;0.35080718249176496;0.0;0.3544093476323244;0.0;0.0;0.0;0.17947333535038623;0.3542009851668515;0.33992773542628685;0.0;0.0;0.0;0.3502119012721577;0.3683819138708811;0.0;0.29213134426075865;0.21132078233264945;0.3402590065599506;0.2565153452795113;0.0;0.0;0.4595055730793419;0.0;0.0;0.3862728499868568;0.31466415205180537;0.4842683286133771;0.0;0.42507083196660206
GO:0045807;0.31406774648220337;1.0;0.3412042296763356;0.0;0.0;0.0;0.2636621228069038;0.34094323969236995;0.0;0.0;0.0;0.5994964045454317;0.0;0.0;0.0;0.0;0.5461016018453738;0.39141856587492163;0.0;0.36445723992858275;0.0;0.6002825609948107;0.3649675078679229;0.0;0.41963011802846684;0.0;0.39141856587492163;0.42436248930000425;0.590518502354716;0.4243566794910113;0.5905103566056901;0.3040380130535469;0.3649253420991473;0.0;0.4669146925905774;0.2768937250404255;0.42305416013848124;0.0;0.0;0.3203437457935078;0.5460976777524502;0.24302612488219016;0.4416204237356908;0.42420751546266716;0.3773276395121597;0.32261012688196083;0.30592881375008485;0.21970407344498252;0.44092064015222504;0.3478127360900733;0.0;0.3202851959269878;0.42883385768339916;0.0;0.0;0.0;0.0;0.0;0.508016619154043;0.0;0.19165762161650785;0.0;0.3773276395121597;0.0;0.0;0.0;0.0;0.0;0.2151045824333966;0.0;0.0;0.0;0.34064366339696156;0.26340873014301086;0.0;0.37798851890274576;0.0;0.0;0.0;0.2871171257913986;0.3777988230072012;0.36472604033705114;0.0;0.0;0.0;0.22930622334891868;0.39063520889049513;0.0;0.4450133752304851;0.19532795381647472;0.5079588060208029;0.39675182265566394;0.0;0.0;0.2927507878519159;0.0;0.0;0.4066180043073222;0.4748005881880209;0.3263312684049458;0.0;0.3649632674484751
GO:0034351;0.3931832492574467;0.3412042296763356;1.0;0.0;0.0;0.0;0.2112791247919166;0.2733088165113613;0.0;0.0;0.0;0.37838417160528287;0.0;0.0;0.0;0.0;0.3931884956026402;0.3921616459214267;0.0;0.36510139307649275;0.0;0.30305200926189757;0.5087641363910258;0.0;0.3019969833844072;0.0;0.3921616459214267;0.591731087679175;0.4252341164858811;0.5917229698046638;0.42522823863325304;0.21872024289641995;0.36557115245259436;0.0;0.2938443999606316;0.19917423414718438;0.42392234326067324;0.0;0.0;0.8163378699657379;0.39318566491154355;0.24331237536123357;0.2779044894217256;0.34019293902984443;0.378018134156546;0.2692600740877541;0.2200819048384534;0.30605153592444095;0.4418637839175145;0.25024925070156295;0.0;0.2567230847137878;0.26984760202875985;0.0;0.0;0.0;0.0;0.0;0.3657190864071641;0.0;0.26694606621552935;0.0;0.378018134156546;0.0;0.0;0.0;0.0;0.0;0.3827256161485972;0.0;0.0;0.0;0.2730682718287097;0.21107581559568184;0.0;0.3030596979896407;0.0;0.0;0.0;0.2065354478936718;0.37849104480442325;0.2924074382701482;0.0;0.0;0.0;0.31944235970653106;0.3913753148073353;0.0;0.3202929838847345;0.2720630454510423;0.3656773932934426;0.28550930702461697;0.0;0.0;0.40795127071763615;0.0;0.0;0.4074199740493081;0.5413990880344038;0.32697670024697834;0.0;0.9302438640049847
GO:0036092;0.0;0.0;0.0;1.0;0.7007721186339271;0.1843003597283274;0.0;0.0;0.17376285186978072;0.0;0.0;0.0;0.1196202733501942;0.1482441037596485;0.0;0.0;0.0;0.16418526145837023;0.30959332646959037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16418526145837023;0.0;0.0;0.0;0.0;0.10515686430713002;0.0;0.1447022686085329;0.0;0.0;0.17338051202569127;0.1691590576579016;0.0;0.0;0.0;0.34723988330737615;0.0;0.0;0.1599489718780719;0.12409078318058762;0.0;0.0;0.17838941327169003;0.0;0.14818063107133364;0.0;0.12430166784316865;0.14818033006938036;0.1645537611244902;0.0;0.15188244285206717;0.17311325258861346;0.0;0.16007933914041328;0.0;0.37721130387879226;0.1599489718780719;0.3612928579426838;0.1601716740715856;0.1843003597283274;0.1102110469876199;0.3808931027080355;0.0;0.16844372624420784;0.0;0.12685836863344466;0.0;0.0;0.15976362089175414;0.0;0.1738905920648147;0.15970640764389385;0.29419829493690214;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1737623374124913;0.0;0.0;0.0;0.0;0.1243073403102373;0.1688987294497095;0.0;0.36755707494146006;0.27810825635798914;0.16865649409248626;0.0;0.0;0.0;0.0
GO:0046854;0.0;0.0;0.0;0.7007721186339271;1.0;0.22444131878890353;0.0;0.0;0.2090059750134756;0.0;0.0;0.0;0.13532954959183202;0.17315378485449417;0.0;0.0;0.0;0.19530247205438975;0.36317838287307613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19530247205438975;0.0;0.0;0.0;0.0;0.11710719599364663;0.0;0.1683409890234826;0.0;0.0;0.20845305881190113;0.2023808832443679;0.0;0.0;0.0;0.43246936233067657;0.0;0.0;0.18933742032994813;0.1410795715973141;0.0;0.0;0.21573595145001387;0.0;0.17306719544680785;0.0;0.14135221517039012;0.17306678484978355;0.19582410981043732;0.0;0.17813811748973277;0.2080668575999978;0.0;0.18952012245300826;0.0;0.474924885673452;0.18933742032994813;0.28457028427898723;0.18964955759205704;0.22444131878890353;0.12340982124885727;0.30190978804990243;0.0;0.2013578370959316;0.0;0.1446677857766553;0.0;0.0;0.1890777559080433;0.0;0.20919081497379088;0.18899762627472938;0.3538397602722921;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2090052307056307;0.0;0.0;0.0;0.0;0.14135955060800082;0.20200837280609624;0.0;0.29008817529046194;0.31370021794075076;0.2016619540287363;0.0;0.0;0.0;0.0
GO:0022008;0.0;0.0;0.0;0.1843003597283274;0.22444131878890353;1.0;0.0;0.0;0.6331062013124756;0.317703506239127;0.0;0.0;0.1893901260169986;0.2727805728427413;0.334456868198434;0.35392092151429705;0.0;0.3321155713152854;0.28592435867567834;0.0;0.0;0.0;0.0;0.427862056727465;0.0;0.42275940505411547;0.3321155713152854;0.0;0.0;0.0;0.0;0.1555228805505495;0.0;0.527525685782822;0.0;0.0;0.37202654108072053;0.7136453195979754;0.40014570957600126;0.0;0.0;0.177035211448602;0.0;0.0;0.31522737822580277;0.20084614071849163;0.0;0.0;0.3958776174692267;0.0;0.5508507544727415;0.0;0.20139917198491566;0.27256472056252434;0.565077908934707;0.4278544764464064;0.2853589043396956;0.3707982140476796;0.0;0.3157341323287407;0.0;0.201812822621988;0.31522737822580277;0.16001084115038958;0.31609353572803267;0.8613692629559758;0.16683851158199356;0.17332507753645837;0.0;0.3500150337314343;0.40009464669060724;0.42076411815838943;0.0;0.0;0.31450827446590984;0.0;0.6341082462324208;0.5323205579664148;0.3734693746621484;0.0;0.0;0.0;0.35062209913599557;0.317703506239127;0.0;0.0;0.0;0.6331021691337153;0.0;0.0;0.0;0.0;0.20141406373453305;0.35198538913079747;0.0;0.1641879891682977;0.1827023990852329;0.350934977852296;0.0;0.0;0.42768958648018357;0.0
GO:0048633;0.2936615914548008;0.2636621228069038;0.2112791247919166;0.0;0.0;0.0;1.0;0.5211551863123214;0.0;0.0;0.0;0.3971312743155341;0.0;0.0;0.0;0.0;0.2936645180299269;0.2345617240214591;0.0;0.386480876327208;0.0;0.28549030535781095;0.27800436280187313;0.0;0.23962264991509039;0.0;0.2345617240214591;0.24903830616382147;0.3111791815309423;0.2490358060049804;0.31117603389011184;0.18402692771467946;0.3868589978928523;0.0;0.23446117254648483;0.1699909362641953;0.24847482624605244;0.0;0.0;0.20114457489450044;0.29366293898452206;0.16096577436294673;0.31199514217134655;0.3110968807582928;0.2281811143624847;0.21854014533048535;0.1849899258306516;0.1479665181042826;0.2560904270030067;0.20584802688112114;0.0;0.4963793012646234;0.21892701848187485;0.0;0.0;0.0;0.0;0.0;0.27806542466241924;0.0;0.22909314128877745;0.0;0.2281811143624847;0.0;0.0;0.0;0.0;0.0;0.145351049807574;0.0;0.0;0.0;0.366911445844866;0.2990431481081505;0.0;0.28549576613348404;0.0;0.0;0.0;0.17532415241512816;0.22839635563282157;0.2778642357352464;0.0;0.0;0.0;0.3774223177419951;0.23421003776815105;0.0;0.25099908349225125;0.13390394716412268;0.2780413214500916;0.22912396361234624;0.0;0.0;0.32569373963251685;0.0;0.0;0.24131615692683453;0.26399830455826107;0.4205081056951951;0.0;0.2224856156899151
GO:0045766;0.3928367243634321;0.34094323969236995;0.2733088165113613;0.0;0.0;0.0;0.5211551863123214;1.0;0.0;0.0;0.0;0.3780632309364352;0.0;0.0;0.0;0.0;0.3928419614650976;0.3135720569786373;0.0;0.5076883705925378;0.0;0.3783504007530316;0.36531381667126733;0.0;0.30179250923426726;0.0;0.3135720569786373;0.33999311583734143;0.42482882318429854;0.33998845596575994;0.4248229565306901;0.21861296944500494;0.5083410548485928;0.0;0.293650813055416;0.19908527315003385;0.3389437482526946;0.0;0.0;0.25658539535267416;0.39283913576140683;0.19461726440320298;0.3864882797881354;0.42467544314498923;0.3022725022171378;0.26909751584327846;0.21997329188053;0.17593011498989658;0.3532744784699892;0.25010883063891537;0.0;0.9393586924475956;0.269684333818247;0.0;0.0;0.0;0.0;0.0;0.3654192623934001;0.0;0.3044858703103631;0.0;0.3022725022171378;0.0;0.0;0.0;0.0;0.0;0.1722449700979477;0.0;0.0;0.0;0.47445628367584153;0.3668080512742959;0.0;0.37835999172683177;0.0;0.0;0.0;0.2064397912005981;0.3026503322500092;0.36507189082951524;0.0;0.0;0.0;0.31931101519156485;0.3129438590032132;0.0;0.3200629932039479;0.15640079842586146;0.365377637609507;0.2853265433859022;0.0;0.0;0.40772538222389976;0.0;0.0;0.3257614590613761;0.3415055876869784;0.648170904358846;0.0;0.2923581583251952
GO:0003334;0.0;0.0;0.0;0.17376285186978072;0.2090059750134756;0.6331062013124756;0.0;0.0;1.0;0.3860835037800538;0.0;0.0;0.1782801019529075;0.25031321472854756;0.3012985872534773;0.42550518724953357;0.0;0.29939719398876097;0.26133726011849107;0.0;0.0;0.0;0.0;0.5034308788494228;0.0;0.3711323990474833;0.29939719398876097;0.0;0.0;0.0;0.0;0.14795160976159655;0.0;0.407139246466188;0.0;0.0;0.3314523541972701;0.5358316221900407;0.4746135395711579;0.0;0.0;0.16729014500728537;0.0;0.0;0.28560347934210145;0.18839557777228177;0.0;0.0;0.35025315166407966;0.0;0.42365965574743997;0.0;0.1888820857742894;0.25013144329662496;0.8062720423612474;0.5034230604426406;0.2608647928172684;0.33047699453138096;0.0;0.28601940029137257;0.0;0.18924587048438035;0.28560347934210145;0.15200753697478026;0.28631430626722676;0.6331062013124756;0.15815616297034243;0.16397339847735393;0.0;0.31386681573925596;0.4745600196370479;0.33002454283110394;0.0;0.0;0.2850130556152151;0.0;0.5645607436175654;0.48243034914226796;0.33259714715909333;0.0;0.0;0.0;0.3143548778627997;0.3860835037800538;0.0;0.0;0.0;0.785302773020557;0.0;0.0;0.0;0.0;0.18889518392273677;0.31545028471436204;0.0;0.15577236025176242;0.17234169200559224;0.3146063545746068;0.0;0.0;0.37492656240974404;0.0
GO:0072070;0.0;0.0;0.0;0.0;0.0;0.317703506239127;0.0;0.0;0.3860835037800538;1.0;0.0;0.0;0.0;0.0;0.2637641208993105;0.3700943627201107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4276728279731602;0.0;0.31578059949908605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2158705847268654;0.0;0.0;0.0;0.2752349605562284;0.4066952812148183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22370445090938723;0.0;0.0;0.0;0.3533496065713864;0.427667185585855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.317703506239127;0.0;0.0;0.0;0.0;0.6064648465214859;0.1784289996233218;0.0;0.0;0.0;0.0;0.2879847725682844;0.2510573936585527;0.0;0.0;0.0;0.0;0.27371631679193653;0.9188493629338297;0.0;0.0;0.0;0.3860816116239826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31852323128388793;0.0
