;GO:0016579;GO:0042426;GO:0045926;GO:0006094;GO:0015871;GO:0045947;GO:1900271;GO:0006096;GO:0006882;GO:0043312;GO:0071280;GO:0043687;GO:0006656;GO:0043456;GO:0043161;GO:0006888;GO:0071294;GO:0071276;GO:1902093;GO:0036018
GO:0016579;1.0;0.39290855864131013;0.0;0.2879939220472402;0.0;0.0;0.0;0.17289240754598229;0.1476066797440504;0.1413537168114616;0.18419347758444868;0.889462073051274;0.4200532587344935;0.0;0.6179811083844815;0.0;0.18417921213474325;0.18414560918322634;0.0;0.18349382357003796
GO:0042426;0.39290855864131013;1.0;0.18222986798208418;0.19792363762680687;0.0;0.095747724433352;0.21103287832315007;0.2085655533888518;0.2401501332249286;0.12858854470891984;0.16309582002937964;0.4166567305632358;0.37175623113707856;0.1155623143609034;0.49718453992479295;0.0;0.1630846352741065;0.16305828826192612;0.14420431133251702;0.1625470258573526
GO:0045926;0.0;0.18222986798208418;1.0;0.0;0.0;0.24814558588521907;0.45397145729930133;0.0;0.21639297857454645;0.0;0.0;0.0;0.0;0.26414031209926864;0.0;0.0;0.0;0.0;0.3817815352613892;0.0
GO:0006094;0.2879939220472402;0.19792363762680687;0.0;1.0;0.0;0.0;0.0;0.17514498872198586;0.0;0.0;0.0;0.3101998053823019;0.33413371183428514;0.0;0.253795386527866;0.0;0.0;0.0;0.0;0.0
GO:0015871;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.27399261993855406;0.0;0.0;0.0;0.0;0.0;0.426862762573717;0.0;0.0;0.0;0.0
GO:0045947;0.0;0.095747724433352;0.24814558588521907;0.0;0.0;1.0;0.2358026004691383;0.0;0.10440854815803417;0.0;0.0;0.0;0.0;0.3886602162990499;0.0;0.0;0.0;0.0;0.2193880969669939;0.0
GO:1900271;0.0;0.21103287832315007;0.45397145729930133;0.0;0.0;0.2358026004691383;1.0;0.0;0.2445512519067806;0.0;0.0;0.0;0.0;0.30166703019313984;0.0;0.0;0.0;0.0;0.41216068214619006;0.0
GO:0006096;0.17289240754598229;0.2085655533888518;0.0;0.17514498872198586;0.0;0.0;0.0;1.0;0.05121739104871489;0.05044312178624708;0.055008735624055526;0.17679542881900515;0.2826777557818242;0.0;0.21043951420953036;0.0;0.055007463223387315;0.05500446547614373;0.0;0.054946166986687896
GO:0006882;0.1476066797440504;0.2401501332249286;0.21639297857454645;0.0;0.0;0.10440854815803417;0.2445512519067806;0.05121739104871489;1.0;0.1441936366871366;0.18904516235076482;0.1577125303613767;0.12571850262865655;0.12841936749969665;0.1317192652317077;0.0;0.1890301355259759;0.18899473936120179;0.16479207902616483;0.18830823865422933
GO:0043312;0.1413537168114616;0.12858854470891984;0.0;0.0;0.27399261993855406;0.0;0.0;0.05044312178624708;0.1441936366871366;1.0;0.17890907048507596;0.15059468647227786;0.12115383686810527;0.0;0.12671710995269714;0.3448239557096009;0.17889561179923597;0.17886390898235735;0.0;0.17824891401454046
GO:0071280;0.18419347758444868;0.16309582002937964;0.0;0.0;0.0;0.0;0.0;0.055008735624055526;0.18904516235076482;0.17890907048507596;1.0;0.20020168245206624;0.15131817707054057;0.0;0.16009691342910806;0.0;0.8630241455547275;0.8628074249695252;0.0;0.5756761505878625
GO:0043687;0.889462073051274;0.4166567305632358;0.0;0.3101998053823019;0.0;0.0;0.0;0.17679542881900515;0.1577125303613767;0.15059468647227786;0.20020168245206624;1.0;0.44386025369056686;0.0;0.6139538875856052;0.0;0.2001848297518843;0.20014513330427483;0.0;0.19937540303653162
GO:0006656;0.4200532587344935;0.37175623113707856;0.0;0.33413371183428514;0.0;0.0;0.0;0.2826777557818242;0.12571850262865655;0.12115383686810527;0.15131817707054057;0.44386025369056686;1.0;0.0;0.38153312185718774;0.0;0.15130854931228976;0.15128586961362156;0.0;0.15084566645352362
GO:0043456;0.0;0.1155623143609034;0.26414031209926864;0.0;0.0;0.3886602162990499;0.30166703019313984;0.0;0.12841936749969665;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2753144605176752;0.0
GO:0043161;0.6179811083844815;0.49718453992479295;0.0;0.253795386527866;0.0;0.0;0.0;0.21043951420953036;0.1317192652317077;0.12671710995269714;0.16009691342910806;0.6139538875856052;0.38153312185718774;0.0;1.0;0.0;0.16008613619565762;0.16006074904184556;0.0;0.1595680827785847
GO:0006888;0.0;0.0;0.0;0.0;0.426862762573717;0.0;0.0;0.0;0.0;0.3448239557096009;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
GO:0071294;0.18417921213474325;0.1630846352741065;0.0;0.0;0.0;0.0;0.0;0.055007463223387315;0.1890301355259759;0.17889561179923597;0.8630241455547275;0.2001848297518843;0.15130854931228976;0.0;0.16008613619565762;0.0;1.0;0.862715477460156;0.0;0.5756151004781713
GO:0071276;0.18414560918322634;0.16305828826192612;0.0;0.0;0.0;0.0;0.0;0.05500446547614373;0.18899473936120179;0.17886390898235735;0.8628074249695252;0.20014513330427483;0.15128586961362156;0.0;0.16006074904184556;0.0;0.862715477460156;1.0;0.0;0.5754713078160563
GO:1902093;0.0;0.14420431133251702;0.3817815352613892;0.0;0.0;0.2193880969669939;0.41216068214619006;0.0;0.16479207902616483;0.0;0.0;0.0;0.0;0.2753144605176752;0.0;0.0;0.0;0.0;1.0;0.0
GO:0036018;0.18349382357003796;0.1625470258573526;0.0;0.0;0.0;0.0;0.0;0.054946166986687896;0.18830823865422933;0.17824891401454046;0.5756761505878625;0.19937540303653162;0.15084566645352362;0.0;0.1595680827785847;0.0;0.5756151004781713;0.5754713078160563;0.0;1.0
