;GO:0006123;GO:0006641;GO:0006784;GO:0008543;GO:0006366;GO:0006006;GO:0009437;GO:0000432;GO:0032869;GO:0050796;GO:0000165;GO:0006635;GO:0001666;GO:0071398;GO:0034622;GO:0036503;GO:0071218;GO:0051918;GO:0032000;GO:0006351;GO:0051260;GO:1902600;GO:0051085;GO:0007166;GO:0006853;GO:0008535;GO:0006357;GO:0030855;GO:0001676;GO:0101030
GO:0006123;1.0;0.35294117647058826;0.2222222222222222;0.1111111111111111;0.1;0.25;0.26666666666666666;0.17391304347826086;0.1111111111111111;0.0;0.10526315789473684;0.3157894736842105;0.0;0.25;0.13333333333333333;0.1111111111111111;0.25;0.0;0.0;0.10526315789473684;0.125;0.0;0.26666666666666666;0.13333333333333333;0.0;0.11764705882352941;0.0;0.14285714285714285;0.3333333333333333;0.09523809523809523
GO:0006641;0.35294117647058826;1.0;0.23529411764705882;0.23529411764705882;0.21052631578947367;0.26666666666666666;0.42857142857142855;0.18181818181818182;0.23529411764705882;0.0;0.2222222222222222;0.5555555555555556;0.0;0.26666666666666666;0.14285714285714285;0.23529411764705882;0.26666666666666666;0.0;0.0;0.2222222222222222;0.13333333333333333;0.0;0.2857142857142857;0.2857142857142857;0.0;0.125;0.0;0.15384615384615385;0.5882352941176471;0.2
GO:0006784;0.2222222222222222;0.23529411764705882;1.0;0.1111111111111111;0.2;0.25;0.5333333333333333;0.17391304347826086;0.1111111111111111;0.0;0.10526315789473684;0.3157894736842105;0.0;0.125;0.13333333333333333;0.2222222222222222;0.125;0.0;0.0;0.21052631578947367;0.125;0.0;0.13333333333333333;0.13333333333333333;0.0;0.11764705882352941;0.0;0.14285714285714285;0.3333333333333333;0.19047619047619047
GO:0008543;0.1111111111111111;0.23529411764705882;0.1111111111111111;1.0;0.1;0.0;0.13333333333333333;0.17391304347826086;0.1111111111111111;0.10526315789473684;0.10526315789473684;0.21052631578947367;0.0;0.25;0.13333333333333333;0.1111111111111111;0.25;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.125;0.0;0.26666666666666666;0.13333333333333333;0.0;0.11764705882352941;0.1;0.14285714285714285;0.2222222222222222;0.09523809523809523
GO:0006366;0.1;0.21052631578947367;0.2;0.1;1.0;0.2222222222222222;0.23529411764705882;0.08;0.1;0.0;0.09523809523809523;0.19047619047619047;0.0;0.1111111111111111;0.11764705882352941;0.4;0.1111111111111111;0.0;0.0;0.9523809523809523;0.1111111111111111;0.0;0.11764705882352941;0.11764705882352941;0.0;0.10526315789473684;0.0;0.125;0.2;0.34782608695652173
GO:0006006;0.25;0.26666666666666666;0.25;0.0;0.2222222222222222;1.0;0.3076923076923077;0.0;0.0;0.0;0.11764705882352941;0.35294117647058826;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.21052631578947367
GO:0009437;0.26666666666666666;0.42857142857142855;0.5333333333333333;0.13333333333333333;0.23529411764705882;0.3076923076923077;1.0;0.2;0.13333333333333333;0.0;0.125;0.375;0.0;0.3076923076923077;0.16666666666666666;0.4;0.3076923076923077;0.0;0.0;0.25;0.15384615384615385;0.0;0.3333333333333333;0.16666666666666666;0.0;0.14285714285714285;0.0;0.18181818181818182;0.4;0.2222222222222222
GO:0000432;0.17391304347826086;0.18181818181818182;0.17391304347826086;0.17391304347826086;0.08;0.0;0.2;1.0;0.34782608695652173;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.2;0.38095238095238093;0.1;0.17391304347826086;0.38095238095238093;0.25;0.4166666666666667;0.08333333333333333;0.09523809523809523;0.0;0.2;0.2;0.0;0.09090909090909091;0.88;0.10526315789473684;0.17391304347826086;0.07692307692307693
GO:0032869;0.1111111111111111;0.23529411764705882;0.1111111111111111;0.1111111111111111;0.1;0.0;0.13333333333333333;0.34782608695652173;1.0;0.0;0.10526315789473684;0.21052631578947367;0.26666666666666666;0.625;0.13333333333333333;0.5555555555555556;0.625;0.0;0.0;0.10526315789473684;0.125;0.0;0.26666666666666666;0.13333333333333333;0.0;0.11764705882352941;0.0;0.14285714285714285;0.2222222222222222;0.09523809523809523
GO:0050796;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.3333333333333333;0.0;1.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.4;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.38095238095238093;0.0;0.0;0.0
