;GO:0006123;GO:0006641;GO:0006784;GO:0008543;GO:0006366;GO:0006006;GO:0009437;GO:0000432;GO:0032869;GO:0050796;GO:0000165;GO:0006635;GO:0001666;GO:0071398;GO:0034622;GO:0036503;GO:0071218;GO:0051918;GO:0032000;GO:0006351;GO:0051260;GO:1902600;GO:0051085;GO:0007166;GO:0006853;GO:0008535;GO:0006357;GO:0030855;GO:0001676;GO:0101030
GO:0006123;1.0;0.3558706677231763;0.31679339576715565;0.4583139373647899;0.5176938310590186;0.3838655434933427;0.3772552802986501;0.22407358170335817;0.24138851853875337;0.0;0.4827674271293126;0.5627026500394005;0.0;0.3494314717504962;0.5144624690772919;0.44668579508257505;0.28367981189368235;0.0;0.0;0.5259806972076126;0.4122517233397286;0.0;0.31048236645534294;0.5271758747921524;0.0;0.4122517233397286;0.0;0.4983434911468811;0.4227027760669281;0.4186909193124087
GO:0006641;0.3558706677231763;1.0;0.28077569873958386;0.37283244878614097;0.4474346048082854;0.36873456299335416;0.3472387043380812;0.20909271782346173;0.22085956030444986;0.0;0.4125082008785795;0.4926304257711288;0.0;0.3134137747229244;0.40935092413313057;0.3820910230315094;0.24766211486611056;0.0;0.0;0.4557214709568795;0.30714017839556723;0.0;0.26315085365937885;0.4416943862135036;0.0;0.30714017839556723;0.0;0.39323194620271973;0.5471516456666703;0.34843169306167554
GO:0006784;0.31679339576715565;0.28077569873958386;1.0;0.3337551768301203;0.5172035042869876;0.3269486679628016;0.3568446530178435;0.15912105135901272;0.1817822883484292;0.0;0.3922972034281973;0.28894526961555017;0.0;0.2603252342180395;0.3899037085426223;0.38454126257054383;0.19457357436122563;0.0;0.0;0.5254903704355817;0.28769296280505896;0.0;0.20858484291008988;0.40261711425748287;0.0;0.28769296280505896;0.0;0.37378473061221146;0.3362939913149433;0.3655932074515693
GO:0008543;0.4583139373647899;0.37283244878614097;0.3337551768301203;1.0;0.5573168491113998;0.0;0.3900757437893707;0.31196848628961205;0.3141251204646079;0.3727874760107174;0.6553501082827426;0.3810020196621073;0.0;0.42216807367635073;0.5871990710031465;0.49197326733462377;0.35641641381953687;0.35510752763138026;0.3554725391753222;0.565603715259994;0.4849883252655831;0.0;0.38321896838119746;0.7696343088370601;0.0;0.4849883252655831;0.45284435103964044;0.5710800930727356;0.4355232395576487;0.4583139373647899
GO:0006366;0.5176938310590186;0.4474346048082854;0.5172035042869876;0.5573168491113998;1.0;0.5037551717675358;0.524941412681043;0.2935764861078355;0.34039143028536323;0.0;0.6397704716837465;0.4556041756842517;0.0;0.4257731465076895;0.6134653808239018;0.5937329130658036;0.36002148665087563;0.0;0.0;0.8898156103061527;0.5112546350863385;0.0;0.3826827236402922;0.6261787865387625;0.0;0.5112546350863385;0.0;0.597346402893491;0.5101253955797931;0.6320696363232954
GO:0006006;0.3838655434933427;0.36873456299335416;0.3269486679628016;0.0;0.5037551717675358;1.0;0.3779229347680306;0.0;0.0;0.0;0.44616753084841326;0.4053256885743271;0.0;0.0;0.0;0.4384115899907598;0.0;0.0;0.0;0.5120420379161299;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45267441027372024;0.40475226002092596
GO:0009437;0.3772552802986501;0.3472387043380812;0.3568446530178435;0.3900757437893707;0.524941412681043;0.3779229347680306;1.0;0.21544161831826303;0.22823290433105947;0.0;0.44861777038744777;0.3554082752140475;0.0;0.32348457153000587;0.4462242755018727;0.47780682273070174;0.257732911673192;0.0;0.0;0.533228278829637;0.3440135297643094;0.0;0.2750478485085872;0.45893768121673334;0.0;0.3440135297643094;0.0;0.4301052975714619;0.40689831448568475;0.4259385009344331
GO:0000432;0.22407358170335817;0.20909271782346173;0.15912105135901272;0.31196848628961205;0.2935764861078355;0.0;0.21544161831826303;1.0;0.362314611703778;0.2532359299073351;0.3033083921806614;0.21726228869942804;0.33328689308150167;0.46086994718925534;0.32345870799958215;0.38333120192029485;0.3778033504970463;0.2641846126864164;0.37215933461965434;0.30186335225642963;0.22124796226201882;0.0;0.19457357436122563;0.3808304237169746;0.0;0.22124796226201882;0.6553290881594653;0.3073397300691713;0.26088911408654103;0.19457357436122563
GO:0032869;0.24138851853875337;0.22085956030444986;0.1817822883484292;0.3141251204646079;0.34039143028536323;0.0;0.22823290433105947;0.362314611703778;1.0;0.0;0.30546502635565725;0.22902913118041618;0.36609056871016515;0.5632150542001124;0.3702736521771099;0.4964587130613863;0.457717635501692;0.0;0.0;0.34867829643395737;0.26806290643954656;0.0;0.20858484291008988;0.38298705789197046;0.0;0.26806290643954656;0.0;0.35415467424669905;0.2736804000993375;0.24138851853875337
GO:0050796;0.0;0.0;0.0;0.3727874760107174;0.0;0.0;0.0;0.2532359299073351;0.0;1.0;0.38375743826727915;0.0;0.0;0.0;0.0;0.0;0.0;0.35888926772424273;0.34355492697057294;0.0;0.0;0.0;0.0;0.48394070679300893;0.0;0.0;0.423611801999496;0.0;0.0;0.0
