;GO:0043988;GO:0018108;GO:0007131;GO:0007052;GO:0046777;GO:0000733;GO:0006364;GO:0009157;GO:0032091;GO:0007019;GO:0044878;GO:0071373;GO:0051289;GO:0000183;GO:0045893;GO:0044320;GO:0007409;GO:0034501;GO:0071732;GO:0071897;GO:0016572;GO:0071456;GO:0035556;GO:0010971;GO:0031115;GO:0036089;GO:0036123;GO:0036124;GO:0000707;GO:0007066;GO:0036120;GO:0009165;GO:0007141;GO:1901796;GO:0008631;GO:0007265;GO:0046104;GO:0006974;GO:0042148;GO:0048012;GO:0051973;GO:0051497;GO:0051256;GO:0031145;GO:0033762;GO:0031100;GO:0016567;GO:0035024;GO:1904355;GO:0045787;GO:0051272;GO:0009615;GO:0042754;GO:0061436;GO:0000079;GO:0000122;GO:0071392;GO:0000086;GO:0043097;GO:0048146;GO:0000281;GO:0034644;GO:0071314;GO:0032466;GO:0016310;GO:0032467;GO:0031577;GO:0016579;GO:1905098;GO:0006351;GO:0007088;GO:0000724;GO:0000722;GO:1990314;GO:0043065;GO:0070495;GO:0002903;GO:0032212
GO:0043988;1.0;0.45572593707909254;0.13782044033979002;0.17129279771003839;0.4511557419087485;0.14923908809939496;0.1270267050480989;0.2737520211167891;0.0;0.15471425959919308;0.016820808509603918;0.016542012253947143;0.1719403287056233;0.40470843140533;0.0;0.01788048761237731;0.17794868530649585;0.0;0.018307684229438063;0.15070764266727427;0.8523081785504136;0.020831789118631077;0.025915491655330004;0.0;0.0;0.14696732623217218;0.44866838568359785;0.46227339503637044;0.14816570433327106;0.1314714214962308;0.018571933505860526;0.3380224152570246;0.1583791750960942;0.0;0.01837872977948846;0.02218483009939226;0.14172483127289578;0.024250953203823814;0.12539814502392194;0.01797790430867298;0.0;0.0;0.1502125268459646;0.19270408154641933;0.0;0.0;0.29437065050546946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019269451414091393;0.02101931183919318;0.15147401822761372;0.0;0.020038414336241286;0.02036470446401519;0.016542012253947143;0.0;0.47888127939854686;0.0;0.018687140325755247;0.2743346380293325;0.0;0.19410660788059522;0.0;0.14810752463432833;0.15269263677324443;0.017659794945153594;0.0;0.0;0.0;0.0
GO:0018108;0.45572593707909254;1.0;0.19040287284416538;0.028664077683402157;0.6586742746668603;0.1709573626132688;0.1855204822217262;0.36910968147055767;0.0;0.024892068995282617;0.02222136300885264;0.02173738053617767;0.02881755199503819;0.024286344850750423;0.0;0.02410890359902469;0.03026491209657957;0.0;0.024892068995282617;0.2159096299770728;0.5412785927222806;0.02980170806887289;0.041427553727127774;0.0;0.0;0.02322736667005061;0.45572593707909254;0.4740597106063614;0.023481019219191282;0.02006821524873952;0.02538312307691892;0.4963605763458048;0.025700676998121553;0.0;0.02502359105622119;0.03265048947135027;0.1872275593224481;0.03733146047043671;0.16748164775204227;0.024286344850750423;0.0;0.0;0.023917490658381616;0.2670560721307446;0.0;0.0;0.45032814140125005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026704281328477596;0.030186982052920263;0.20462619999762505;0.0;0.028204198778953922;0.028854921749346812;0.02173738053617767;0.0;0.752433618956095;0.0;0.02559881963641493;0.4050701319650983;0.0;0.317660801451963;0.0;0.21061254533060225;0.1763111633243405;0.02370939980386463;0.0;0.0;0.0;0.0
GO:0007131;0.13782044033979002;0.19040287284416538;1.0;0.4925349055464638;0.19112784102607458;0.44333055426813744;0.27256131433936387;0.19869066386727813;0.0;0.021510911652872108;0.3954522591112041;0.01911377124220526;0.024380925734277067;0.021057065768047428;0.0;0.020923545221878833;0.02540898364570496;0.0;0.021510911652872108;0.5413652101483345;0.16189267475817562;0.02508169128704951;0.03283735790357287;0.0;0.0;0.41106517190067987;0.13782044033979002;0.14267217767805573;0.6602810344986052;0.5751072019816543;0.021876643500360515;0.25554923839336263;0.7139821894687762;0.0;0.021609059926712387;0.02706945423451794;0.18504891763839207;0.03020997072173614;0.4354701478581274;0.021057065768047428;0.0;0.0;0.4216760531580461;0.16476779190340715;0.0;0.0;0.21468796358198936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022850992746507454;0.5145134543463005;0.19995857930306288;0.0;0.48582739959069815;0.024407669327549827;0.01911377124220526;0.0;0.14838519601324593;0.0;0.022036674815599528;0.1968309765955747;0.0;0.35408312764447897;0.0;0.7710855873776572;0.6622997898759039;0.020621975026485204;0.0;0.0;0.0;0.0
GO:0007052;0.17129279771003839;0.028664077683402157;0.4925349055464638;1.0;0.02878258810947527;0.3097165689656736;0.028811616099829705;0.022316419816850137;0.0;0.6118334711909064;0.4885923743211734;0.020269459708345785;0.22219794402202936;0.18987533985630806;0.0;0.022316419816850137;0.23233563444570815;0.0;0.022985841799558752;0.027227433210055246;0.2033590757088407;0.027110022726169667;0.03640318073032801;0.0;0.0;0.43750095691256163;0.17129279771003839;0.1777011138655421;0.44193201128180565;0.3817256054614624;0.02340393447621552;0.02926003132061077;0.4804128846755636;0.0;0.02309794596497708;0.029447261413966905;0.020689651021367564;0.033202007065524876;0.0215590344612731;0.022468373465070406;0.0;0.0;0.523133622383498;0.024522556886335638;0.0;0.0;0.03267642263156155;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024522556886335638;0.6477316735772889;0.022468373465070406;0.0;0.6088408464756528;0.026324285391871323;0.020269459708345785;0.0;0.03493442255537375;0.0;0.023587184142736667;0.029717577738028852;0.0;0.038416560238936935;0.0;0.02661868018552052;0.31868521239525166;0.021973691153118542;0.0;0.0;0.0;0.0
GO:0046777;0.4511557419087485;0.6586742746668603;0.19112784102607458;0.02878258810947527;1.0;0.1715415857134539;0.1863737144406184;0.3703923908225787;0.0;0.02498139262978561;0.022292520168939445;0.0218054670890184;0.02893733753642992;0.024371366747052696;0.0;0.024192685514444076;0.030397059836462462;0.0;0.02498139262978561;0.2168423204800139;0.5433203517005011;0.029929833162769853;0.041675558168773;0.0;0.0;0.023305123784276436;0.2677956644416596;0.2786041431559366;0.02356048679189128;0.020126232879360377;0.025476012282727677;0.4986829525381129;0.025795909270829653;0.0;0.025113862813378313;0.032804343827091735;0.18782709866690966;0.03753272806556691;0.16804231783574045;0.024371366747052696;0.0;0.0;0.023999945204943005;0.2680844227618198;0.0;0.0;0.45271266888470785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026807111286012153;0.030318448648408616;0.20534255759131986;0.0;0.02831892939940016;0.02897501880826483;0.0218054670890184;0.0;0.7567311810005672;0.0;0.02569329716516224;0.4069984272951978;0.0;0.3196838477246783;0.0;0.21149993828681876;0.1769326176411467;0.02379042339270108;0.0;0.0;0.0;0.0
GO:0000733;0.14923908809939496;0.1709573626132688;0.44333055426813744;0.3097165689656736;0.1715415857134539;1.0;0.24460670114204078;0.1822635806901589;0.0;0.2774826861830208;0.01797790430867298;0.017659794945153594;0.18645612490687977;0.16315040354567042;0.0;0.019193656101624983;0.19354270372634022;0.0;0.01968676996160056;0.48838864678973176;0.1730070713368601;0.02263610086552701;0.02876818654610246;0.0;0.0;0.15744425695478687;0.14923908809939496;0.15408018821179004;0.15882038373277324;0.4506104732146233;0.019992662136233234;0.2290032262297307;0.2845635495075382;0.0;0.01976894614374969;0.024242713280608143;0.17071876224386234;0.026731425104625735;0.4005228526627243;0.019305952003115197;0.0;0.0;0.16117450554298535;0.15000290797923205;0.0;0.0;0.19028361961292234;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.020803309448960187;0.022857687078178996;0.18332994621187435;0.0;0.02170242042218144;0.02208566958313619;0.017659794945153594;0.0;0.13058874989902727;0.0;0.020126232879360377;0.17612172455895617;0.0;0.3083097083945165;0.0;0.4792438798823433;0.5287469745920663;0.018939587432658576;0.0;0.0;0.0;0.0
GO:0006364;0.1270267050480989;0.1855204822217262;0.27256131433936387;0.028811616099829705;0.1863737144406184;0.24460670114204078;1.0;0.22992924036168674;0.0;0.025003256786636063;0.0223099292909887;0.02182212351854227;0.028966678662646538;0.024392175685828594;0.0;0.024213190317556237;0.030429437463056146;0.0;0.025003256786636063;0.30927055590253294;0.15300030360027606;0.029961222585938967;0.04173644401928842;0.0;0.0;0.023324151066833197;0.1270267050480989;0.1321576938678614;0.02357993351109733;0.02014042183934945;0.02549875120457347;0.3096593393006614;0.025819223095110203;0.0;0.025135959568081075;0.03284205596904637;0.21185581194067538;0.03758210347661528;0.239612907961355;0.024392175685828594;0.0;0.0;0.024020124454502058;0.15619091049522346;0.0;0.0;0.21485391572959692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026832289635551385;0.03035065893638085;0.2316288912223534;0.0;0.02834702924220515;0.029004436437219668;0.02182212351854227;0.0;0.18674906823355222;0.0;0.02571642579767643;0.1931330947182196;0.0;0.5002853583962213;0.0;0.30164317172305066;0.25230055663508283;0.02381025170111798;0.0;0.0;0.0;0.0
GO:0009157;0.2737520211167891;0.36910968147055767;0.19869066386727813;0.022316419816850137;0.3703923908225787;0.1822635806901589;0.22992924036168674;1.0;0.0;0.019961425850583678;0.018206670843572734;0.01788048761237731;0.02240933659861543;0.01957001359577429;0.0;0.019454633959398688;0.023274895928415428;0.0;0.019961425850583678;0.28408893840483185;0.3179829445283036;0.022999975585573474;0.029358481352004768;0.0;0.0;0.01887652695603444;0.09191838890520297;0.09493857478613422;0.019043711450542553;0.016735498401546103;0.020275980933668718;0.7362554259895879;0.020478096291912416;0.0;0.020045915875616153;0.024660550263540332;0.4465863092921822;0.02724035476304011;0.17925211204080402;0.01957001359577429;0.0;0.0;0.01932980117066826;0.10852163788879665;0.0;0.0;0.138210855305634;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02111024600253506;0.02322877904638956;0.4800273602804179;0.0;0.022036674815599528;0.022431927775403128;0.01788048761237731;0.0;0.4347404336010244;0.0;0.020413377208106327;0.1277458334284972;0.0;0.3772457220417787;0.0;0.2150409449368302;0.18685692213856694;0.019193656101624983;0.0;0.0;0.0;0.0
GO:0032091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.052901621291111804;0.0;0.0;0.0575644937945887;0.09383243580588932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09474953409777101;0.061570348575751936;0.0575644937945887;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07089336743866576;0.05921937077926615;0.07604093368466576;0.0;0.0;0.0;0.0575644937945887;0.30161753210654346;0.06002453029109549;0.0;0.0;0.0;0.0;0.0;0.05976805595784252;0.05921937077926615;0.07975868622313374;0.0817632239738962;0.0;0.05861385433020507;0.06002453029109549;0.33108641157788316;0.0872182853921153;0.0;0.0;0.0;0.0652396163316577;0.0;0.0;0.0;0.05517835974545515;0.0;0.06312881505161429;0.06050698773077374;0.0;0.7754246051299516;0.0;0.0736264838348804;0.0;0.057936555134918515;0.0;0.0837320672914297;0.05180281643722896;0.0575644937945887;0.06281292044709812
GO:0007019;0.15471425959919308;0.024892068995282617;0.021510911652872108;0.6118334711909064;0.02498139262978561;0.2774826861830208;0.025003256786636063;0.019961425850583678;0.0;1.0;0.01864978894956986;0.018307684229438063;0.3666934323445176;0.16971633892639817;0.0;0.019961425850583678;0.20285254017058016;0.0;0.020495327744062996;0.023801459636255753;0.18040832387970887;0.023711688573120053;0.03052811151583636;0.0;0.0;0.16355034533917207;0.15471425959919308;0.15992328806272188;0.3102167110817726;0.24115162809546117;0.020827074288089328;0.025340269079860527;0.29656170952843564;0.0;0.02058440795226302;0.02548057513173678;0.01864978894956986;0.02824441645889387;0.0193532780096808;0.020082913816025467;0.0;0.0;0.45228117798606865;0.021708291142540363;0.0;0.0;0.02786316916443898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021708291142540363;0.023954946227021073;0.020082913816025467;0.0;0.02268917370486198;0.02310840246881013;0.018307684229438063;0.0;0.029488409966316107;0.0;0.020972067521626378;0.02568272069272882;0.0;0.03193153105353898;0.0;0.023334952359942086;0.28466001366698457;0.01968676996160056;0.0;0.0;0.0;0.0
