;GO:0008360;GO:0035024;GO:0014002;GO:0060586;GO:1902476;GO:0006021;GO:0034395;GO:0035021;GO:0002281;GO:0046854;GO:0044257;GO:0045944;GO:1903988;GO:0043547;GO:0046855;GO:0002576;GO:0006879;GO:0006957;GO:0007229;GO:0034605;GO:0019262;GO:2001204;GO:0034620;GO:0030321;GO:0036149;GO:0015701;GO:0050852;GO:0035556;GO:0050776;GO:0048709;GO:0050908;GO:0008654;GO:0051085;GO:0043312;GO:0008333;GO:0007166;GO:1904886;GO:0030316;GO:0043066;GO:0045087;GO:0006508;GO:0030336;GO:0014005
GO:0008360;1.0;0.2222222222222222;0.0;0.3333333333333333;0.0;0.0;0.10526315789473684;0.2222222222222222;0.0;0.0;0.0;0.21052631578947367;0.0;0.2857142857142857;0.0;0.0;0.3333333333333333;0.125;0.14285714285714285;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.1111111111111111;0.15384615384615385;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.5333333333333333;0.0;0.0;0.26666666666666666;0.0
GO:0035024;0.2222222222222222;1.0;0.0;0.18181818181818182;0.0;0.0;0.08695652173913043;0.9090909090909091;0.0;0.0;0.0;0.34782608695652173;0.0;0.2222222222222222;0.0;0.0;0.18181818181818182;0.4;0.1111111111111111;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.09090909090909091;0.47058823529411764;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.5263157894736842;0.0;0.0;0.5263157894736842;0.0
GO:0014002;0.0;0.0;1.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.15384615384615385;0.26666666666666666;0.3076923076923077;0.0;0.0;0.0;0.26666666666666666;0.26666666666666666;0.23529411764705882;0.0;0.15384615384615385;0.3333333333333333;0.2857142857142857;0.0;0.3076923076923077;0.0;0.26666666666666666;0.0;0.11764705882352941;0.16666666666666666;0.0;0.16666666666666666;0.0;0.3076923076923077;0.3333333333333333;0.125;0.0;0.16666666666666666;0.16666666666666666;0.15384615384615385;0.0;0.0;0.0;0.0;0.16666666666666666
GO:0060586;0.3333333333333333;0.18181818181818182;0.0;1.0;0.0;0.0;0.08695652173913043;0.18181818181818182;0.0;0.0;0.0;0.17391304347826086;0.0;0.2222222222222222;0.0;0.0;0.9090909090909091;0.1;0.1111111111111111;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.09090909090909091;0.11764705882352941;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.21052631578947367;0.0;0.0;0.21052631578947367;0.0
GO:1902476;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47619047619047616;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8888888888888888;0.0;0.7058823529411765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006021;0.0;0.0;0.2857142857142857;0.0;0.0;1.0;0.0;0.0;0.13333333333333333;0.35294117647058826;0.4;0.0;0.0;0.0;0.5882352941176471;0.23529411764705882;0.21052631578947367;0.35294117647058826;0.26666666666666666;0.2857142857142857;0.375;0.0;0.26666666666666666;0.0;0.35294117647058826;0.0;0.21052631578947367;0.2857142857142857;0.0;0.2857142857142857;0.0;0.5333333333333333;0.2857142857142857;0.1111111111111111;0.0;0.2857142857142857;0.2857142857142857;0.13333333333333333;0.0;0.0;0.42857142857142855;0.0;0.2857142857142857
GO:0034395;0.10526315789473684;0.08695652173913043;0.0;0.08695652173913043;0.0;0.0;1.0;0.08695652173913043;0.0;0.0;0.0;0.9166666666666666;0.0;0.10526315789473684;0.0;0.0;0.08695652173913043;0.09523809523809523;0.10526315789473684;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.08695652173913043;0.1111111111111111;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.1;0.0;0.0;0.1;0.0
GO:0035021;0.2222222222222222;0.9090909090909091;0.0;0.18181818181818182;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.34782608695652173;0.0;0.2222222222222222;0.0;0.0;0.18181818181818182;0.4;0.1111111111111111;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.09090909090909091;0.47058823529411764;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.5263157894736842;0.0;0.0;0.5263157894736842;0.0
GO:0002281;0.0;0.0;0.15384615384615385;0.0;0.0;0.13333333333333333;0.0;0.0;1.0;0.125;0.14285714285714285;0.0;0.0;0.0;0.125;0.125;0.1111111111111111;0.25;0.14285714285714285;0.15384615384615385;0.13333333333333333;0.0;0.14285714285714285;0.0;0.125;0.0;0.1111111111111111;0.15384615384615385;0.0;0.15384615384615385;0.0;0.14285714285714285;0.15384615384615385;0.11764705882352941;0.0;0.15384615384615385;0.15384615384615385;0.14285714285714285;0.0;0.3333333333333333;0.0;0.0;0.15384615384615385
GO:0046854;0.0;0.0;0.26666666666666666;0.0;0.0;0.35294117647058826;0.0;0.0;0.125;1.0;0.375;0.0;0.0;0.0;0.5555555555555556;0.2222222222222222;0.2;0.3333333333333333;0.25;0.26666666666666666;0.35294117647058826;0.0;0.25;0.0;0.8888888888888888;0.0;0.2;0.26666666666666666;0.0;0.26666666666666666;0.0;0.75;0.26666666666666666;0.10526315789473684;0.0;0.26666666666666666;0.26666666666666666;0.125;0.0;0.0;0.4;0.0;0.26666666666666666
