;GO:0051491;GO:0051092;GO:0002479;GO:0002755;GO:2000510;GO:0019886;GO:0050830;GO:0042308;GO:0007263;GO:0002885;GO:2000525;GO:0001954;GO:0002922;GO:2000526;GO:0002408;GO:2000522;GO:0072610;GO:0010942;GO:2000121;GO:0031623;GO:0051897;GO:0071404;GO:0070508;GO:0045429;GO:0034695;GO:0043123;GO:0042953;GO:0002576;GO:0002456;GO:0019221;GO:0050852;GO:0050731;GO:0038124;GO:1904646;GO:0050862;GO:0002503;GO:2000547;GO:2000669;GO:0002506;GO:0010886;GO:0032496;GO:0038116;GO:0038115;GO:0055096;GO:0030194;GO:0002286;GO:0032760;GO:0051209;GO:0071731;GO:0019722;GO:0007186;GO:0031274;GO:0090023;GO:0043552;GO:0043277;GO:0043312;GO:0042102;GO:1900227;GO:0045860;GO:0044130;GO:0045065;GO:0010628;GO:0002606;GO:0071447;GO:0016045;GO:0030299;GO:0001916;GO:0010744;GO:0032755;GO:0071726;GO:0044539;GO:0019934;GO:0060100;GO:0090630;GO:0000122;GO:0060907;GO:0097022;GO:0097029;GO:0070543;GO:0050776;GO:2000334;GO:0140052;GO:0060333;GO:0050706;GO:0034121;GO:0007169;GO:0007204;GO:1990000;GO:0032735;GO:0045089;GO:0071222;GO:0071223;GO:0046330;GO:0045087;GO:0030838;GO:0070374;GO:0071345;GO:0050702
GO:0051491;1.0;0.35610924665492577;0.0;0.3236626762158731;0.33338533752975075;0.0;0.0;0.23959436050011845;0.2733764861840696;0.3301623464344354;0.31607040069435555;0.35027767465042614;0.3916690848454038;0.31655567254483385;0.0;0.31655567254483385;0.0;0.4740542701147385;0.28273593724946766;0.0;0.31655567254483385;0.0;0.0;0.31655567254483385;0.0;0.34323006044562704;0.0;0.0;0.0;0.3555497329457626;0.2969882883150799;0.33710077271775674;0.2969882883150799;0.0;0.31655567254483385;0.0;0.6402349049280897;0.19694059100882855;0.0;0.3166183446805923;0.0;0.2733764861840696;0.2733764861840696;0.25654682119915273;0.39750065684990343;0.0;0.3236626762158731;0.30703581615390346;0.0;0.326725261985656;0.36884150434140267;0.7271728956155319;0.31655567254483385;0.33338533752975075;0.0;0.0;0.3551476726503763;0.5266609716546622;0.362700425611178;0.24007963235059676;0.0;0.4489699628741492;0.3432927325813855;0.0;0.0;0.0;0.35027767465042614;0.33618572891034626;0.3432927325813855;0.0;0.0;0.2733764861840696;0.46128290306822667;0.17552267843442942;0.3078974618538849;0.2796733514796847;0.0;0.0;0.0;0.4148652063549795;0.48808545762988725;0.0;0.25654682119915273;0.2504175334712824;0.3542826589858905;0.36169734810045323;0.21233821081761228;0.0;0.3432927325813855;0.43139967175521815;0.0;0.0;0.32282926887219104;0.0;0.5532071928945881;0.31607040069435555;0.0;0.0
GO:0051092;0.35610924665492577;1.0;0.0;0.36012239756630243;0.35027767465042614;0.0;0.0;0.2737389623204306;0.309836207534499;0.3643069482547476;0.33064761828491374;0.38976857662475967;0.4311599868197373;0.4093602032746786;0.0;0.3334480096655092;0.0;0.49811910543156207;0.36668336980563704;0.0;0.3334480096655092;0.0;0.0;0.3760914396067368;0.0;0.36012239756630243;0.0;0.0;0.0;0.39200945429619194;0.3334480096655092;0.37560831654449467;0.3334480096655092;0.0;0.3334480096655092;0.0;0.30005087408486286;0.22656154200654188;0.0;0.35610924665492577;0.0;0.309836207534499;0.309836207534499;0.293006542549582;0.44113287639648097;0.0;0.36012239756630243;0.3434955375043328;0.0;0.36318498333608534;0.405301225691832;0.3729389116398427;0.3334480096655092;0.4639743899078882;0.0;0.0;0.3697248902409344;0.35610924665492577;0.5401044221668432;0.27653935370102606;0.0;0.5585743206354645;0.382783634555719;0.0;0.0;0.0;0.38976857662475967;0.35610924665492577;0.382783634555719;0.0;0.0;0.309836207534499;0.35027767465042614;0.44714472492297125;0.5537552532057941;0.3138179532999968;0.0;0.0;0.0;0.454356108329313;0.3997414662015033;0.0;0.293006542549582;0.28273593724946766;0.3907423803363198;0.3981570694508826;0.23865549352879473;0.0;0.382783634555719;0.4708905737295516;0.0;0.0;0.36133681269892903;0.0;0.38679678546709556;0.35640414256322045;0.0;0.0
GO:0002479;0.0;0.0;1.0;0.412581864217661;0.0;0.6952269629999923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40273714130178473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4134375185588314;0.0;0.38590747631686784;0.0;0.38590747631686784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48058827284719174;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40553753268238024;0.0;0.0;0.0;0.0;0.42236719766729713;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38590747631686784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4659306400192474;0.0;0.0;0.0;0.0
GO:0002755;0.3236626762158731;0.36012239756630243;0.412581864217661;1.0;0.42459189293012484;0.4322119205831734;0.0;0.2835836852363069;0.5620410514256944;0.47741852258050205;0.42459189293012484;0.3573220061857069;0.5263800157762278;0.4678514931160551;0.57360034610276;0.4077622279452079;0.4122517233397286;0.45850003679636114;0.4370505856503054;0.37914483005101535;0.377331992233315;0.3371567543561361;0.0;0.3063477393804779;0.0;0.40400638013410817;0.0;0.31035419979447554;0.49254563845380045;0.6442142981873873;0.6705739398933854;0.3301965078399317;0.7033582885615743;0.28769296280505896;0.4340143387760212;0.4122517233397286;0.3098955970007391;0.23640626492241817;0.4122517233397286;0.3236626762158731;0.0;0.5620410514256944;0.5620410514256944;0.5452113864407775;0.47249806061411714;0.6318214212826545;0.33302212728127106;0.4778990209548787;0.0;0.6153898272272809;0.6575060695830275;0.34049234120079;0.4077622279452079;0.3231774043653948;0.0;0.556770681117843;0.44818042609287717;0.3236626762158731;0.39930743662434975;0.28638407661690235;0.57360034610276;0.4560142944094299;0.4517515526813963;0.3440135297643094;0.0;0.0;0.48498860558125023;0.3236626762158731;0.35033706411666626;0.4122517233397286;0.0;0.5620410514256944;0.3231774043653948;0.2444883596901516;0.34858311830354227;0.4340143387760212;0.556770681117843;0.4122517233397286;0.0;0.6081175929810926;0.36012239756630243;0.3371567543561361;0.5452113864407775;0.2925806601653439;0.5720051582343404;0.6503619133420779;0.3143660565489949;0.3371567543561361;0.35033706411666626;0.648491783545337;0.4122517233397286;0.4122517233397286;0.4009205253960674;0.5616988758366301;0.37701145201745945;0.37867291842496364;0.39211239244556584;0.4122517233397286
GO:2000510;0.33338533752975075;0.35027767465042614;0.0;0.42459189293012484;1.0;0.0;0.0;0.331557620867266;0.27289121433359137;0.5248857836777403;0.43206210684964375;0.3474772832698307;0.5325744753844672;0.31607040069435555;0.0;0.4348624982302392;0.0;0.46822269811023887;0.3446168786266958;0.0;0.3848022061528339;0.0;0.0;0.31607040069435555;0.0;0.41147659405362713;0.0;0.0;0.0;0.35506446109528433;0.3979175050293316;0.3399191691538094;0.3979175050293316;0.0;0.4348624982302392;0.0;0.2672471984561994;0.2020034135127573;0.0;0.3475316315110125;0.0;0.27289121433359137;0.27289121433359137;0.2560615493486744;0.48868503785520295;0.0;0.3231774043653948;0.3807056896303681;0.0;0.32623999013517774;0.3683562324909244;0.3502150025146677;0.6884802963880208;0.3329000656792725;0.0;0.0;0.4711393788056644;0.33338533752975075;0.36673880458329844;0.23959436050011845;0.0;0.4461695714935537;0.484198123120449;0.0;0.0;0.0;0.4488917718345607;0.33338533752975075;0.34049234120079;0.0;0.0;0.27289121433359137;0.34704635966053426;0.18058550093835818;0.31193584082600534;0.4152324418647268;0.0;0.0;0.0;0.5672934006264911;0.3698450588801801;0.0;0.2560615493486744;0.327391075234278;0.46758242741942957;0.361212076249975;0.22025562887688815;0.0;0.34049234120079;0.5723050622942816;0.0;0.0;0.39107580248019114;0.0;0.3694191764959419;0.38431693430235564;0.0;0.0
GO:0019886;0.0;0.0;0.6952269629999923;0.4322119205831734;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42236719766729713;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42892625735209966;0.0;0.40553753268238024;0.0;0.40553753268238024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5032495098366083;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4281987696717968;0.0;0.0;0.0;0.0;0.4450284346567137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40553753268238024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4855606963847598;0.0;0.0;0.0;0.0
GO:0050830;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30152878904278296;0.0;0.0;0.30286971523443157;0.0;0.0;0.0;0.3463737681201417;0.0;0.0;0.0;0.0;0.2720287817006504;0.0;0.0;0.0;0.0;0.0;0.0;0.4688148008558904;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40839318415261644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4252228491375334;0.6884802963880208;0.0;0.0;0.0;0.0;0.4421404129550972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30286971523443157;0.0;0.0;0.30152878904278296;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4421404129550972;0.4421404129550972;0.0;0.6228013720079981;0.0;0.0;0.367798242900605;0.0
GO:0042308;0.23959436050011845;0.2737389623204306;0.0;0.2835836852363069;0.331557620867266;0.0;0.0;1.0;0.2737389623204306;0.2605833481127367;0.24093528669176711;0.27325369046995235;0.31464510066492996;0.25690929733551365;0.0;0.22410562170685017;0.0;0.37211660155048937;0.2830984133858286;0.0;0.22410562170685017;0.0;0.0;0.22410562170685017;0.0;0.2507800096076434;0.0;0.0;0.0;0.35591220908212357;0.25690929733551365;0.25065184294677584;0.25690929733551365;0.0;0.22410562170685017;0.0;0.2662687484009117;0.28227993958637626;0.0;0.3302166946756173;0.0;0.2737389623204306;0.2737389623204306;0.25690929733551365;0.31513037251540826;0.0;0.2507800096076434;0.4176506828312757;0.0;0.32708773812201697;0.36920398047776365;0.2564240254850354;0.31472795588234903;0.24093528669176711;0.0;0.0;0.26600129009892354;0.23959436050011845;0.29026276438906135;0.33471367158055215;0.0;0.37194597869367535;0.2662687484009117;0.0;0.0;0.0;0.27325369046995235;0.23959436050011845;0.2662687484009117;0.0;0.0;0.2737389623204306;0.3634889309476857;0.19235234341934632;0.39593426321190445;0.22410562170685017;0.0;0.0;0.0;0.4316948713398964;0.2737389623204306;0.0;0.25690929733551365;0.48250672662936156;0.35464513512225143;0.3620598242368142;0.22916787580252923;0.0;0.2662687484009117;0.3543756875747443;0.0;0.0;0.24917162511400665;0.0;0.27745439750843653;0.22692401814290286;0.0;0.0
GO:0007263;0.2733764861840696;0.309836207534499;0.0;0.5620410514256944;0.27289121433359137;0.0;0.0;0.2737389623204306;1.0;0.27459461666160095;0.27289121433359137;0.29056862730534755;0.33196003750032516;0.41756530308425166;0.41923666540876925;0.2560615493486744;0.4024070004238523;0.40821384676455774;0.31688053906977975;0.3693001071351391;0.2560615493486744;0.32731203144025983;0.0;0.2560615493486744;0.0;0.28273593724946766;0.0;0.30050947687859925;0.0;0.634369575271511;0.5353666635249013;0.27991031780812825;0.5353666635249013;0.27784823988918267;0.2560615493486744;0.4024070004238523;0.30005087408486286;0.22656154200654188;0.4024070004238523;0.25690929733551365;0.0;0.5521963285098181;0.5521963285098181;0.5353666635249013;0.33476042888092067;0.4774577405886638;0.2662687484009117;0.46805429803900245;0.0;0.7528561224598276;0.6476613466671512;0.29020615116898657;0.2560615493486744;0.27289121433359137;0.0;0.4024070004238523;0.29647974749634376;0.2733764861840696;0.3490212465925463;0.27653935370102606;0.41923666540876925;0.38926091552907055;0.2835836852363069;0.33416880684843314;0.0;0.0;0.29056862730534755;0.2733764861840696;0.2835836852363069;0.4024070004238523;0.0;0.6995073466582413;0.27289121433359137;0.2346436367742753;0.33873839538766604;0.23959436050011845;0.4024070004238523;0.4024070004238523;0.0;0.454356108329313;0.309836207534499;0.32731203144025983;0.5353666635249013;0.28273593724946766;0.3907423803363198;0.6405171904262017;0.3045213336331187;0.32731203144025983;0.2835836852363069;0.3716906244101395;0.4024070004238523;0.4024070004238523;0.27965008251142687;0.0;0.326725261985656;0.2574024755403231;0.38226766952968955;0.4024070004238523
GO:0002885;0.3301623464344354;0.3643069482547476;0.0;0.47741852258050205;0.5248857836777403;0.0;0.0;0.2605833481127367;0.27459461666160095;1.0;0.4484064999840824;0.36382167640426927;0.619288470746775;0.31467360764116714;0.0;0.44889177183456064;0.0;0.4626845874848063;0.4280615170755995;0.0;0.41846153612266773;0.0;0.0;0.31467360764116714;0.0;0.4451359240234609;0.0;0.0;0.0;0.35676786342329386;0.45782894582997874;0.3412198288810928;0.45074413467970886;0.0;0.5174351760203029;0.0;0.27042807102861294;0.20830116012560684;0.0;0.3301623464344354;0.0;0.27459461666160095;0.27459461666160095;0.257764951676684;0.5027143114595243;0.0;0.3413479955419603;0.30825394663143474;0.0;0.3279433924631873;0.37005963481893395;0.3469920114193524;0.5080561186928234;0.3315032726260841;0.0;0.0;0.487483771940103;0.3301623464344354;0.3690639078423902;0.257764951676684;0.0;0.46251396462799227;0.4951962161008662;0.0;0.0;0.0;0.5088032126352078;0.3301623464344354;0.3568367343352286;0.0;0.0;0.27459461666160095;0.3315032726260841;0.2033504363997637;0.317361139466295;0.49477393903088634;0.0;0.0;0.0;0.6587347545967107;0.3643069482547476;0.0;0.257764951676684;0.2576367850158165;0.56038002679545;0.3629154785779845;0.24551226893696793;0.0;0.3568367343352286;0.6674229852995878;0.0;0.0;0.4247351324500249;0.0;0.3680223834427535;0.4179762642721895;0.0;0.0
