;GO:0019318;GO:0040014;GO:0008285;GO:1903547;GO:1901962;GO:0006468;GO:0046835;GO:0006601;GO:0046339;GO:0046834;GO:0001893;GO:0006635;GO:0010758;GO:0015908;GO:0015867;GO:0015866;GO:0035556;GO:0035352;GO:0035350;GO:0080121;GO:0006096;GO:0006473;GO:0046500;GO:0007205;GO:0001561;GO:0006334;GO:0006654;GO:0051156;GO:0010923;GO:0001678;GO:0046498;GO:0035349
GO:0019318;1.0;0.0;0.0;0.0;0.0;0.03607057831429871;0.2737097563349576;0.010801101848656354;0.0749097952276498;0.09246812094671142;0.0;0.011056178604982215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012469319235252614;0.04173283313585169;0.08242471573537921;0.0;0.011056178604982215;0.0;0.009720601631654098;0.08804190926323217;0.0;0.0;0.010814325107819276;0.0
GO:0040014;0.0;1.0;0.10239557015479397;0.06815508573627893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03252532507298515;0.0;0.0;0.0;0.12142815584870818;0.0;0.0;0.0;0.0;0.0;0.0;0.12142815584870818;0.0;0.0;0.0;0.0;0.01680461277599483;0.06846868483840705;0.0;0.0
GO:0008285;0.0;0.10239557015479397;1.0;0.12151596247131931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05799048065509941;0.0;0.0;0.0;0.18256445760049927;0.0;0.0;0.0;0.0;0.0;0.0;0.18256445760049927;0.0;0.0;0.0;0.0;0.09006116089517698;0.06846868483840705;0.0;0.0
GO:1903547;0.0;0.06815508573627893;0.12151596247131931;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05799048065509941;0.0;0.0;0.0;0.12151596247131931;0.0;0.0;0.0;0.0;0.0;0.0;0.12151596247131931;0.0;0.0;0.0;0.0;0.02996150138133961;0.05138895156253823;0.0;0.0
GO:1901962;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1188107560554005;0.06403484271014326;0.07009623001090821;0.0;0.10371718873633223;0.06996349636978844;0.053669561258444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03037862547657519
GO:0006468;0.03607057831429871;0.0;0.0;0.0;0.0;1.0;0.13729705428960948;0.03268535662863253;0.0776589484478103;0.13729705428960948;0.0;0.023803643979107916;0.0;0.0;0.0;0.0;0.018943192534739486;0.0;0.0;0.0;0.0016519386161370942;0.8271243819215042;0.0776589484478103;0.018943192534739486;0.023803643979107916;0.018943192534739486;0.03160989464990967;0.1172959476873737;0.0;0.018943192534739486;0.032725371707426246;0.0
GO:0046835;0.2737097563349576;0.0;0.0;0.0;0.0;0.13729705428960948;1.0;0.023254470841457046;0.16127869853181712;0.35196554130783536;0.0;0.023803643979107916;0.0;0.0;0.0;0.0;0.05003033300609951;0.0;0.0;0.0;0.0016519386161370942;0.0898496250555939;0.1774581126574788;0.05003033300609951;0.023803643979107916;0.03221816962578776;0.03160989464990967;0.2862986862382209;0.0;0.05003033300609951;0.023282940149398204;0.0
GO:0006601;0.010801101848656354;0.0;0.0;0.0;0.0;0.03268535662863253;0.023254470841457046;1.0;0.023254470841457046;0.023254470841457046;0.0;0.07160131041063364;0.0;0.0;0.0;0.0;0.00567241673043317;0.0;0.0;0.0;0.010966325608243318;0.03268535662863253;0.02951021116971929;0.00567241673043317;0.07160131041063364;0.00567241673043317;0.04074262649236562;0.023254470841457046;0.0;0.00567241673043317;0.13584967743030094;0.0
GO:0046339;0.0749097952276498;0.0;0.0;0.0;0.0;0.0776589484478103;0.16127869853181712;0.023254470841457046;1.0;0.44418535884365346;0.0;0.06555875164481645;0.0;0.0;0.0;0.0;0.03934039153380478;0.0;0.0;0.0;9.34381414760232E-4;0.0898496250555939;0.16127869853181712;0.03934039153380478;0.06555875164481645;0.03221816962578776;0.06164023846948937;0.16127869853181712;0.0;0.03934039153380478;0.023282940149398204;0.0
GO:0046834;0.09246812094671142;0.0;0.0;0.0;0.0;0.13729705428960948;0.35196554130783536;0.023254470841457046;0.44418535884365346;1.0;0.0;0.07010939359484916;0.0;0.0;0.0;0.0;0.04856150082087164;0.0;0.0;0.0;0.0016519386161370942;0.0898496250555939;0.1774581126574788;0.04856150082087164;0.07010939359484916;0.03221816962578776;0.05763931019716315;0.2862986862382209;0.0;0.04856150082087164;0.023282940149398204;0.0
GO:0001893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006635;0.011056178604982215;0.0;0.0;0.0;0.0;0.023803643979107916;0.023803643979107916;0.07160131041063364;0.06555875164481645;0.07010939359484916;0.0;1.0;0.0;0.0;0.0;0.0;0.005806375439498342;0.0;0.0;0.0;0.003111577206496161;0.023803643979107916;0.023803643979107916;0.005806375439498342;0.7391235722816462;0.005806375439498342;0.05763931019716315;0.023803643979107916;0.0;0.005806375439498342;0.0716889683826842;0.0
GO:0010758;0.0;0.03252532507298515;0.05799048065509941;0.05799048065509941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.05799048065509941;0.0;0.0;0.0;0.0;0.0;0.0;0.05799048065509941;0.0;0.0;0.0;0.0;0.02996150138133961;0.02452410317843289;0.0;0.0
GO:0015908;0.0;0.0;0.0;0.0;0.1188107560554005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.16433303264733903;0.17988841023596847;0.0;0.0824561824608194;0.17954777503087752;0.1377325435525003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06197965149478783
GO:0015867;0.0;0.0;0.0;0.0;0.06403484271014326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16433303264733903;1.0;0.403555691333677;0.0;0.2800108737407148;0.2800108737407148;0.3382323744475427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1522045854364295
GO:0015866;0.0;0.0;0.0;0.0;0.07009623001090821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17988841023596847;0.403555691333677;1.0;0.0;0.3065160431506058;0.30593562690763987;0.3382323744475427;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1522045854364295
GO:0035556;0.0;0.12142815584870818;0.18256445760049927;0.12151596247131931;0.0;0.018943192534739486;0.05003033300609951;0.00567241673043317;0.03934039153380478;0.04856150082087164;0.0;0.005806375439498342;0.05799048065509941;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.2792179645054705E-4;0.02191683998587879;0.04328700377885295;0.7203413680427009;0.005806375439498342;0.03221816962578776;0.005104970224137822;0.046236986381733215;0.02996150138133961;0.06846868483840705;0.0056793611919851135;0.0
GO:0035352;0.0;0.0;0.0;0.0;0.10371718873633223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0824561824608194;0.2800108737407148;0.3065160431506058;0.0;1.0;0.41063458989592205;0.2346856821259494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14175051052054236
GO:0035350;0.0;0.0;0.0;0.0;0.06996349636978844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17954777503087752;0.2800108737407148;0.30593562690763987;0.0;0.41063458989592205;1.0;0.2346856821259494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14175051052054236
GO:0080121;0.0;0.0;0.0;0.0;0.053669561258444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1377325435525003;0.3382323744475427;0.3382323744475427;0.0;0.2346856821259494;0.2346856821259494;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1522045854364295
GO:0006096;0.0012469319235252614;0.0;0.0;0.0;0.0;0.0016519386161370942;0.0016519386161370942;0.010966325608243318;9.34381414760232E-4;0.0016519386161370942;0.0;0.003111577206496161;0.0;0.0;0.0;0.0;2.2792179645054705E-4;0.0;0.0;0.0;1.0;0.001313321209363232;0.0014008541674462572;2.2792179645054705E-4;0.003111577206496161;2.2792179645054705E-4;0.003903254722065478;0.0021029453737061543;0.0;2.2792179645054705E-4;0.0075613559156897745;0.0
GO:0006473;0.04173283313585169;0.0;0.0;0.0;0.0;0.8271243819215042;0.0898496250555939;0.03268535662863253;0.0898496250555939;0.0898496250555939;0.0;0.023803643979107916;0.0;0.0;0.0;0.0;0.02191683998587879;0.0;0.0;0.0;0.001313321209363232;1.0;0.0898496250555939;0.02191683998587879;0.023803643979107916;0.02191683998587879;0.020928184029006272;0.0898496250555939;0.0;0.02191683998587879;0.032725371707426246;0.0
GO:0046500;0.08242471573537921;0.0;0.0;0.0;0.0;0.0776589484478103;0.1774581126574788;0.02951021116971929;0.16127869853181712;0.1774581126574788;0.0;0.023803643979107916;0.0;0.0;0.0;0.0;0.04328700377885295;0.0;0.0;0.0;0.0014008541674462572;0.0898496250555939;1.0;0.04328700377885295;0.023803643979107916;0.03221816962578776;0.020928184029006272;0.1774581126574788;0.0;0.04328700377885295;0.029546339073679227;0.0
