;GO:0008360;GO:0016601;GO:0035023;GO:0032092;GO:0008380;GO:1904778;GO:0006366;GO:0007595;GO:0038096;GO:0000432;GO:0043547;GO:0030866;GO:0000281;GO:0048024;GO:0050852;GO:0065003;GO:0007186;GO:0031032;GO:0007264;GO:0050728;GO:0006376;GO:0043114;GO:0002692;GO:0000226;GO:0006397;GO:0043314;GO:0060313;GO:0048010;GO:0043066;GO:0043065;GO:0032496;GO:0050766;GO:0030036
GO:0008360;1.0;0.40654684191756313;0.34372659032833075;0.40840173971794136;0.0;0.35464513512225143;0.0;0.4827001723923382;0.40654684191756313;0.2906380498234458;0.3328647464114914;0.0;0.0;0.36738489999756535;0.40654684191756313;0.0;0.5188415250598131;0.0;0.472298501774377;0.4027439978035079;0.0;0.5968724133319514;0.39080176980255993;0.0;0.0;0.33745299400097356;0.5428080114084686;0.4500508948032732;0.4464374181757646;0.44776452848857945;0.0;0.5251746438168934;0.0
GO:0016601;0.40654684191756313;1.0;0.2628204175265099;0.32749556691612053;0.4543679656954753;0.2737389623204306;0.48458024718554527;0.37931772552493564;0.5185369985399844;0.23923188436375753;0.2519585736096705;0.3687034416352375;0.4024070004238523;0.2864787271957445;0.5185369985399844;0.5218645024322699;0.6308316816822342;0.3806608072418462;0.7727445864076089;0.32183782500168706;0.41923666540876925;0.4183949974809563;0.3098955970007391;0.4484365689853069;0.45706853237040207;0.25654682119915273;0.27653935370102606;0.5620410514256944;0.34821630853854857;0.3495434188513634;0.0;0.3147678963790473;0.43460826002510505
GO:0035023;0.34372659032833075;0.2628204175265099;1.0;0.2873365523163046;0.0;0.26600129009892354;0.0;0.2414025049521108;0.3233604327120895;0.21335662597543276;0.2196627728943789;0.0;0.0;0.2832647057968362;0.3233604327120895;0.0;0.39060383946202815;0.0;0.3285720773833238;0.42060736415644806;0.0;0.2804797769081315;0.30215792477923203;0.0;0.0;0.33884917150535776;0.2631828936628709;0.30632447041222;0.3577935731524367;0.35912068346525156;0.0;0.3070302241575402;0.0
GO:0032092;0.40840173971794136;0.32749556691612053;0.2873365523163046;1.0;0.0;0.3087211648917785;0.0;0.32749556691612053;0.32749556691612053;0.2364924378792958;0.5425425638382424;0.0;0.0;0.3082974092050674;0.32749556691612053;0.0;0.43979025005837047;0.0;0.3932472267729344;0.35682002757303494;0.0;0.3665728388721412;0.328410610723531;0.0;0.0;0.27506183492194464;0.3073802387001298;0.37099961980183066;0.3700349905478714;0.3713621008606863;0.0;0.3332829101018392;0.0
GO:0008380;0.0;0.4543679656954753;0.0;0.0;1.0;0.0;0.7008602665798352;0.0;0.4543679656954753;0.2633642046177655;0.0;0.4106915173301167;0.47119763068039217;0.0;0.4543679656954753;0.5906551326888099;0.5666626488377251;0.4226488829367255;0.5201196255522891;0.0;0.48802729566530906;0.0;0.0;0.48442352361318325;0.725015039334364;0.0;0.0;0.49787201858118535;0.0;0.0;0.0;0.0;0.47059521465298143
GO:1904778;0.35464513512225143;0.2737389623204306;0.26600129009892354;0.3087211648917785;0.0;1.0;0.0;0.26878823859458745;0.33064761828491374;0.283832674107386;0.23880295940197666;0.0;0.0;0.2881821295237541;0.33064761828491374;0.0;0.38603364546268054;0.0;0.33949062217724446;0.3381822181361257;0.0;0.3078655105506081;0.40039513546212063;0.0;0.0;0.34704635966053426;0.29056862730534755;0.3172430152061407;0.34991971086655815;0.4409591527725196;0.0;0.4422124280413364;0.0
GO:0006366;0.0;0.48458024718554527;0.0;0.0;0.7008602665798352;0.0;1.0;0.0;0.48458024718554527;0.2935764861078355;0.0;0.44090379882018677;0.5014099121704623;0.0;0.48458024718554527;0.6208674141788798;0.5968749303277952;0.4528611644267955;0.5503319070423591;0.0;0.5182395771553792;0.0;0.0;0.5146358051032534;0.703560833254762;0.0;0.0;0.5280843000712554;0.0;0.0;0.0;0.0;0.5008074961430515
GO:0007595;0.4827001723923382;0.37931772552493564;0.2414025049521108;0.32749556691612053;0.0;0.26878823859458745;0.0;1.0;0.37931772552493564;0.18831396444722587;0.2519585736096705;0.0;0.0;0.2650608146213454;0.37931772552493564;0.0;0.4916124086671856;0.0;0.4450693853817495;0.3168871012758439;0.0;0.5159662405301305;0.28847768442634;0.0;0.0;0.2351289086247536;0.2715886299751829;0.4228217784106458;0.32679839596414945;0.3281255062769643;0.0;0.29334998380464816;0.0
GO:0038096;0.40654684191756313;0.5185369985399844;0.3233604327120895;0.32749556691612053;0.4543679656954753;0.33064761828491374;0.48458024718554527;0.37931772552493564;1.0;0.2796733514796847;0.2519585736096705;0.3687034416352375;0.4024070004238523;0.2864787271957445;0.710343230630615;0.5218645024322699;0.6308316816822342;0.3806608072418462;0.5842886583967981;0.3988450290358226;0.41923666540876925;0.4183949974809563;0.40636570044936127;0.4484365689853069;0.45706853237040207;0.4036264504520125;0.27653935370102606;0.5988032204436986;0.34821630853854857;0.3899848859672906;0.0;0.35520936349497445;0.43460826002510505
GO:0000432;0.2906380498234458;0.23923188436375753;0.21335662597543276;0.2364924378792958;0.2633642046177655;0.283832674107386;0.2935764861078355;0.18831396444722587;0.2796733514796847;1.0;0.16969110642992985;0.2527946495411202;0.24090324668827506;0.4482563582524942;0.2796733514796847;0.3308607413545602;0.35152656750600747;0.2647520151477289;0.3049835442205714;0.2622315948113629;0.257732911673192;0.22739123640324654;0.2502893668104149;0.3137353698113904;0.2660647712926923;0.19694059100882855;0.2100943531579859;0.28273593724946766;0.3059250151836196;0.36726097684211556;0.3876725088597032;0.32796180354720067;0.2999070608511885
GO:0043547;0.3328647464114914;0.2519585736096705;0.2196627728943789;0.5425425638382424;0.0;0.23880295940197666;0.0;0.2519585736096705;0.2519585736096705;0.16969110642992985;1.0;0.0;0.0;0.2395991862513333;0.2519585736096705;0.0;0.3642532567519205;0.0;0.31771023346648436;0.28690182208323306;0.0;0.29103584556569123;0.25849240523372913;0.0;0.0;0.20514362943214276;0.23598456296592396;0.29546262649538063;0.30133676759413736;0.3026638779069522;0.0;0.26336470461203737;0.0
GO:0030866;0.0;0.3687034416352375;0.0;0.0;0.4106915173301167;0.0;0.44090379882018677;0.0;0.3687034416352375;0.2527946495411202;0.0;1.0;0.38553310662015444;0.0;0.3687034416352375;0.5698123377598409;0.48099812477748743;0.7842513263486233;0.43445510149205135;0.0;0.49398705529800074;0.0;0.0;0.7179056257764669;0.41339208400504357;0.0;0.0;0.41220749452094757;0.0;0.0;0.0;0.0;0.8650013336935429
